Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Kyle Kuzma,1,4:06,19.4,6,23,0,0,0,2,4,50.0,1,2,50.0,1,1,1,Terry Taylor
Jeremy Sochan,1,3:38,19.2,0,28,1,0,0,0,1,0.0,0,1,0.0,0,0,0,Terry Taylor
Christian Braun,1,3:18,12.1,0,10,1,0,0,0,1,0.0,0,0,0.0,0,0,0,Terry Taylor
Derrick Jones Jr.,2,2:12,11.7,2,20,0,0,0,1,4,25.0,0,0,0.0,0,0,0,Terry Taylor
Zach LaVine,2,1:51,11.3,2,14,1,1,0,0,0,0.0,0,0,0.0,2,2,0,Terry Taylor
Franz Wagner,2,2:37,10.4,0,7,0,0,0,0,3,0.0,0,2,0.0,0,0,0,Terry Taylor
Xavier Tillman,1,1:52,9.6,0,5,0,1,0,0,1,0.0,0,0,0.0,0,0,0,Terry Taylor
Isaiah Livers,1,1:56,8.8,3,10,0,1,0,1,3,33.3,1,2,50.0,0,0,0,Terry Taylor
Coby White,2,1:21,8.8,0,6,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Terry Taylor
Aaron Gordon,1,1:41,8.7,4,17,1,1,0,2,2,100.0,0,0,0.0,0,0,0,Terry Taylor
Keldon Johnson,1,0:59,8.4,0,11,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Terry Taylor
P.J. Tucker,1,1:55,8.1,0,10,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Terry Taylor
DeMar DeRozan,1,1:51,7.7,2,7,0,0,0,1,2,50.0,0,0,0.0,0,0,0,Terry Taylor
Montrezl Harrell,1,1:27,7.7,0,7,0,0,1,0,1,0.0,0,0,0.0,0,0,0,Terry Taylor
Jalen Duren,1,1:39,7.5,0,8,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Terry Taylor
Paolo Banchero,1,1:24,7.5,2,10,0,1,0,0,0,0.0,0,0,0.0,2,2,1,Terry Taylor
Kristaps Porzingis,1,1:37,7.3,0,8,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Terry Taylor
Anthony Gill,2,1:21,7.1,0,6,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Terry Taylor
Jakob Poeltl,1,0:46,7.1,4,11,1,0,0,0,1,0.0,0,0,0.0,4,6,0,Terry Taylor
Richaun Holmes,1,1:07,6.4,0,2,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Terry Taylor
Jaren Jackson Jr.,1,1:09,6.1,0,7,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Terry Taylor
