Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Evan Mobley,3,6:21,32.9,6,24,3,1,0,3,6,50.0,0,1,0.0,0,0,0,Thaddeus Young
Domantas Sabonis,1,4:54,28.8,4,32,1,3,0,2,4,50.0,0,0,0.0,0,0,0,Thaddeus Young
Jock Landale,2,5:40,26.8,8,26,1,1,0,4,4,100.0,0,0,0.0,0,0,0,Thaddeus Young
Luke Kornet,2,4:54,24.1,8,22,0,1,0,4,5,80.0,0,1,0.0,0,0,0,Thaddeus Young
Ben Simmons,3,4:38,22.7,6,32,4,1,0,3,4,75.0,0,0,0.0,0,0,0,Thaddeus Young
Myles Turner,2,4:22,22.6,12,25,0,1,0,4,4,100.0,2,2,100.0,2,2,1,Thaddeus Young
Isaiah Hartenstein,2,4:02,22.4,0,23,0,0,0,0,2,0.0,0,0,0.0,0,0,0,Thaddeus Young
Clint Capela,1,4:04,21.4,8,29,0,0,0,4,7,57.1,0,0,0.0,0,0,0,Thaddeus Young
Nikola Jovic,1,5:01,21.4,5,17,0,0,0,2,3,66.7,1,1,100.0,0,0,0,Thaddeus Young
Jericho Sims,3,4:36,21.2,0,21,2,0,0,0,0,0.0,0,0,0.0,0,0,0,Thaddeus Young
Marvin Bagley III,1,3:19,20.1,4,16,0,1,0,2,3,66.7,0,0,0.0,0,0,0,Thaddeus Young
Mo Bamba,2,4:15,18.1,0,12,1,0,0,0,1,0.0,0,1,0.0,0,0,0,Thaddeus Young
Robin Lopez,2,3:44,17.5,2,22,0,1,0,1,1,100.0,0,0,0.0,0,0,0,Thaddeus Young
Jalen Smith,2,3:04,15.4,2,25,1,1,0,1,3,33.3,0,0,0.0,0,0,0,Thaddeus Young
Jarred Vanderbilt,1,3:10,15.2,2,21,1,0,0,1,1,100.0,0,0,0.0,0,0,0,Thaddeus Young
Damian Jones,1,2:24,15.1,0,9,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Thaddeus Young
Nic Claxton,4,2:23,14.8,6,21,0,0,0,2,3,66.7,0,0,0.0,2,2,1,Thaddeus Young
Admiral Schofield,3,3:21,14.2,10,24,2,0,0,3,5,60.0,1,2,50.0,3,3,2,Thaddeus Young
John Collins,1,2:15,14.1,2,15,0,1,0,1,1,100.0,0,0,0.0,0,0,0,Thaddeus Young
Caleb Martin,1,2:49,14.0,0,9,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Thaddeus Young
Royce O'Neale,3,2:02,13.8,0,25,3,1,0,0,1,0.0,0,1,0.0,0,0,0,Thaddeus Young
Alperen Sengun,1,2:21,13.8,2,14,0,2,0,1,2,50.0,0,0,0.0,0,0,0,Thaddeus Young
Maxi Kleber,1,2:12,13.8,0,14,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Thaddeus Young
Jonas Valanciunas,1,2:51,13.8,6,11,2,1,0,3,5,60.0,0,0,0.0,0,0,0,Thaddeus Young
Gorgui Dieng,1,2:24,13.7,3,15,0,1,0,1,3,33.3,1,3,33.3,0,0,0,Thaddeus Young
Jabari Smith Jr.,1,2:15,13.1,2,9,0,0,0,1,2,50.0,0,1,0.0,0,0,0,Thaddeus Young
Zach Collins,1,2:14,12.0,0,9,1,0,0,0,1,0.0,0,0,0.0,0,0,0,Thaddeus Young
Kevon Looney,2,2:19,11.9,4,16,1,0,0,2,2,100.0,0,0,0.0,0,0,0,Thaddeus Young
Dwight Powell,2,2:59,11.8,4,14,0,0,0,2,2,100.0,0,0,0.0,0,0,0,Thaddeus Young
Markieff Morris,2,2:25,11.6,3,8,0,0,0,1,1,100.0,1,1,100.0,0,0,0,Thaddeus Young
Bam Adebayo,1,2:18,11.2,0,15,0,2,0,0,0,0.0,0,0,0.0,0,0,0,Thaddeus Young
Xavier Tillman,1,2:18,10.8,2,6,0,0,0,1,2,50.0,0,0,0.0,0,2,1,Thaddeus Young
Cole Anthony,3,2:07,10.7,10,20,1,1,0,4,6,66.7,0,0,0.0,2,2,2,Thaddeus Young
Isaiah Jackson,1,2:09,10.6,2,5,0,1,0,1,1,100.0,0,0,0.0,0,0,0,Thaddeus Young
JaMychal Green,2,1:55,10.6,0,8,0,1,0,0,1,0.0,0,1,0.0,0,0,0,Thaddeus Young
Joel Embiid,1,2:15,10.4,7,15,0,0,0,1,2,50.0,0,1,0.0,5,6,2,Thaddeus Young
Julius Randle,3,2:13,10.3,5,9,2,1,0,2,2,100.0,0,0,0.0,1,2,1,Thaddeus Young
Al Horford,1,2:35,10.2,0,8,0,0,0,0,2,0.0,0,2,0.0,0,0,0,Thaddeus Young
Christian Wood,2,1:37,10.1,2,7,0,1,0,1,1,100.0,0,0,0.0,0,0,0,Thaddeus Young
Robert Williams III,1,2:08,9.9,0,13,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Thaddeus Young
Isaiah Stewart,1,1:60,9.9,3,9,0,1,0,1,1,100.0,1,1,100.0,0,0,0,Thaddeus Young
Jalen Brunson,3,2:02,9.2,6,13,1,1,0,2,6,33.3,1,2,50.0,1,1,1,Thaddeus Young
Luka Garza,1,1:38,9.1,2,7,0,0,0,1,2,50.0,0,0,0.0,0,0,0,Thaddeus Young
De'Aaron Fox,1,1:27,9.0,8,21,1,1,0,3,8,37.5,1,2,50.0,1,2,0,Thaddeus Young
Tyrese Haliburton,2,1:38,8.9,4,16,3,1,0,2,4,50.0,0,1,0.0,0,0,0,Thaddeus Young
Nikola Vucevic,2,1:23,8.9,2,6,1,1,0,1,2,50.0,0,0,0.0,0,0,0,Thaddeus Young
Harrison Barnes,1,1:03,8.8,0,10,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Thaddeus Young
Paolo Banchero,2,2:07,8.6,0,7,0,1,0,0,0,0.0,0,0,0.0,0,0,0,Thaddeus Young
Kevin Durant,4,1:37,8.5,2,8,1,1,0,1,2,50.0,0,0,0.0,0,0,0,Thaddeus Young
Keegan Murray,1,1:35,8.5,2,6,0,0,0,1,2,50.0,0,0,0.0,0,0,0,Thaddeus Young
