Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Nicolas Batum,1,3:13,16.9,0,13,0,0,0,0,2,0.0,0,2,0.0,0,0,0,Theo Pinson
Greg Brown III,3,3:36,16.3,2,13,0,0,0,1,3,33.3,0,0,0.0,0,0,0,Theo Pinson
Rudy Gay,1,2:36,13.2,2,13,1,0,0,1,4,25.0,0,0,0.0,0,0,0,Theo Pinson
Jerami Grant,2,2:01,11.1,4,19,1,1,0,2,2,100.0,0,0,0.0,0,0,0,Theo Pinson
Xavier Tillman,1,2:07,10.5,0,6,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Theo Pinson
Jabari Walker,3,2:05,10.3,2,15,1,0,0,1,3,33.3,0,0,0.0,0,0,0,Theo Pinson
Anfernee Simons,2,1:41,9.8,5,13,0,0,0,2,2,100.0,1,1,100.0,0,0,0,Theo Pinson
Gary Payton II,2,1:54,8.9,0,10,0,1,0,0,0,0.0,0,0,0.0,0,0,0,Theo Pinson
Kevin Porter Jr.,3,1:54,8.5,2,6,0,0,0,1,4,25.0,0,2,0.0,0,0,0,Theo Pinson
JaMychal Green,1,1:24,8.0,2,4,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Theo Pinson
Jabari Smith Jr.,2,1:33,7.5,0,8,1,0,0,0,1,0.0,0,1,0.0,0,0,0,Theo Pinson
Shaedon Sharpe,3,0:59,5.7,2,4,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Theo Pinson
Obi Toppin,1,0:29,5.4,0,8,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Theo Pinson
Kevin Love,1,0:57,5.3,0,4,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Theo Pinson
Isaac Okoro,2,0:51,5.3,2,8,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Theo Pinson
Wenyen Gabriel,1,1:18,5.1,0,4,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Theo Pinson
Luguentz Dort,1,1:24,5.0,5,7,0,0,0,2,3,66.7,1,1,100.0,0,0,0,Theo Pinson
Josh Okogie,1,0:37,4.8,0,9,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Theo Pinson
Damian Lillard,1,0:55,4.7,0,6,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Theo Pinson
Usman Garuba,2,0:52,4.5,0,3,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Theo Pinson
Jalen Green,2,0:43,4.5,0,5,0,1,0,0,1,0.0,0,0,0.0,0,0,0,Theo Pinson
Haywood Highsmith,1,0:45,4.4,0,8,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Theo Pinson
MarJon Beauchamp,1,0:57,4.3,0,0,0,1,0,0,0,0.0,0,0,0.0,0,0,0,Theo Pinson
Josh Hart,2,0:45,4.2,0,10,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Theo Pinson
Jusuf Nurkic,2,0:38,4.2,4,9,1,0,0,1,1,100.0,0,0,0.0,2,2,1,Theo Pinson
Alperen Sengun,2,0:44,4.2,6,8,0,0,0,2,2,100.0,0,0,0.0,2,2,1,Theo Pinson
Jericho Sims,1,0:58,4.1,0,7,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Theo Pinson
Norman Powell,2,0:60,4.0,2,5,1,0,0,1,1,100.0,0,0,0.0,0,0,0,Theo Pinson
Ayo Dosunmu,1,0:43,4.0,0,6,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Theo Pinson
TyTy Washington Jr.,3,0:50,3.8,2,9,1,0,0,1,1,100.0,0,0,0.0,0,0,0,Theo Pinson
Bruno Fernando,2,0:40,3.6,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Theo Pinson
Jordan Clarkson,2,0:43,3.3,0,5,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Theo Pinson
Kawhi Leonard,1,0:34,3.3,0,3,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Theo Pinson
Justin Jackson,1,0:24,3.2,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Theo Pinson
Garrison Mathews,2,0:25,3.1,0,5,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Theo Pinson
Christian Braun,1,0:38,3.0,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Theo Pinson
Donte DiVincenzo,1,0:42,3.0,3,5,1,0,0,1,1,100.0,1,1,100.0,0,0,0,Theo Pinson
Dalen Terry,1,0:19,3.0,2,4,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Theo Pinson
Darius Garland,2,0:27,3.0,0,3,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Theo Pinson
