Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Kevin Porter Jr.,4,15:51,80.2,20,90,5,4,0,7,13,53.8,2,5,40.0,4,4,1,Tim Hardaway Jr
LeBron James,2,12:59,64.6,16,56,4,1,0,7,17,41.2,0,2,0.0,2,2,1,Tim Hardaway Jr
Jerami Grant,3,10:49,55.7,8,53,1,1,0,3,4,75.0,1,1,100.0,1,1,1,Tim Hardaway Jr
Marcus Morris Sr.,4,11:22,55.5,15,75,6,0,0,5,12,41.7,2,3,66.7,3,3,1,Tim Hardaway Jr
Kawhi Leonard,3,10:04,48.7,19,50,1,1,0,6,8,75.0,1,1,100.0,6,6,2,Tim Hardaway Jr
Mikal Bridges,3,9:20,48.1,4,57,1,0,0,2,6,33.3,0,4,0.0,0,0,0,Tim Hardaway Jr
Darius Garland,2,10:38,45.8,7,39,6,0,0,3,8,37.5,1,1,100.0,0,0,0,Tim Hardaway Jr
Jalen Green,4,8:19,43.5,18,59,2,1,0,6,12,50.0,3,9,33.3,3,4,0,Tim Hardaway Jr
Klay Thompson,2,8:02,42.1,6,37,2,0,0,2,6,33.3,2,5,40.0,0,0,0,Tim Hardaway Jr
Keldon Johnson,1,7:11,39.4,6,47,0,0,0,3,8,37.5,0,1,0.0,0,0,0,Tim Hardaway Jr
Jaden Ivey,2,8:06,39.3,1,37,1,2,0,0,5,0.0,0,3,0.0,1,2,1,Tim Hardaway Jr
Kentavious Caldwell-Pope,3,7:45,38.2,3,43,4,1,0,1,3,33.3,1,2,50.0,0,0,0,Tim Hardaway Jr
Norman Powell,4,8:13,37.3,13,38,0,0,1,4,10,40.0,0,2,0.0,5,6,3,Tim Hardaway Jr
Jordan Clarkson,3,7:28,36.3,18,32,2,4,0,7,14,50.0,2,4,50.0,2,2,1,Tim Hardaway Jr
Eric Gordon,3,6:55,34.8,0,25,0,0,0,0,2,0.0,0,0,0.0,0,0,0,Tim Hardaway Jr
Draymond Green,2,7:05,34.0,5,31,3,2,0,2,4,50.0,1,3,33.3,0,0,0,Tim Hardaway Jr
Luguentz Dort,3,5:48,33.9,8,35,2,1,0,3,11,27.3,1,7,14.3,1,2,1,Tim Hardaway Jr
Julius Randle,2,7:58,33.6,14,34,1,2,0,6,11,54.5,2,3,66.7,0,0,0,Tim Hardaway Jr
Anfernee Simons,3,5:25,31.7,3,24,3,1,0,1,5,20.0,1,4,25.0,0,0,0,Tim Hardaway Jr
Jabari Smith Jr.,4,5:47,30.7,8,31,1,0,0,3,6,50.0,0,1,0.0,2,2,1,Tim Hardaway Jr
Paul George,3,5:33,30.0,9,34,3,1,0,3,4,75.0,1,1,100.0,2,2,1,Tim Hardaway Jr
Kenyon Martin Jr.,4,5:27,29.9,3,40,0,0,0,1,1,100.0,1,1,100.0,0,0,0,Tim Hardaway Jr
Jaylen Brown,2,5:56,29.4,5,21,1,1,0,2,3,66.7,0,0,0.0,1,2,1,Tim Hardaway Jr
Bones Hyland,3,5:54,29.3,11,30,2,1,0,4,8,50.0,3,6,50.0,0,0,0,Tim Hardaway Jr
Terrence Ross,2,6:44,29.3,2,23,0,0,0,1,3,33.3,0,1,0.0,0,0,0,Tim Hardaway Jr
Shai Gilgeous-Alexander,3,4:57,29.2,14,38,3,0,0,7,13,53.8,0,1,0.0,0,0,0,Tim Hardaway Jr
Grayson Allen,2,5:13,28.2,6,33,2,0,0,2,5,40.0,2,5,40.0,0,0,0,Tim Hardaway Jr
Jalen Williams,3,4:33,27.5,8,29,0,0,0,4,5,80.0,0,1,0.0,0,0,0,Tim Hardaway Jr
Immanuel Quickley,2,5:31,26.5,2,22,0,0,0,0,3,0.0,0,0,0.0,2,2,1,Tim Hardaway Jr
Shaedon Sharpe,3,5:37,26.4,4,31,0,1,0,2,3,66.7,0,0,0.0,0,0,0,Tim Hardaway Jr
Bojan Bogdanovic,2,4:37,26.0,8,25,1,1,0,2,6,33.3,0,1,0.0,4,4,2,Tim Hardaway Jr
Lauri Markkanen,3,4:24,25.9,13,33,0,1,0,5,10,50.0,2,5,40.0,1,1,1,Tim Hardaway Jr
D'Angelo Russell,1,5:07,25.5,4,35,3,0,0,2,6,33.3,0,2,0.0,0,0,0,Tim Hardaway Jr
Jrue Holiday,2,5:29,25.2,2,17,0,1,0,1,3,33.3,0,1,0.0,0,0,0,Tim Hardaway Jr
Jayson Tatum,2,4:51,24.3,5,32,4,0,0,2,7,28.6,1,4,25.0,0,0,0,Tim Hardaway Jr
Naji Marshall,2,4:02,23.6,2,19,0,1,0,1,4,25.0,0,1,0.0,0,0,0,Tim Hardaway Jr
Donovan Mitchell,2,4:08,23.1,7,23,0,1,0,3,9,33.3,1,5,20.0,0,0,0,Tim Hardaway Jr
Terance Mann,4,5:00,23.0,11,35,0,1,0,4,5,80.0,3,4,75.0,0,0,0,Tim Hardaway Jr
Will Barton,2,3:51,22.4,0,25,1,0,0,0,4,0.0,0,1,0.0,0,0,0,Tim Hardaway Jr
Quentin Grimes,2,3:43,21.3,9,26,0,0,0,4,6,66.7,1,3,33.3,0,0,0,Tim Hardaway Jr
Tyler Herro,1,4:54,21.0,4,15,0,1,0,2,4,50.0,0,0,0.0,0,0,0,Tim Hardaway Jr
Kelly Olynyk,3,4:05,20.8,7,22,0,2,0,3,4,75.0,0,1,0.0,1,1,1,Tim Hardaway Jr
Bradley Beal,1,3:42,20.7,8,23,1,0,0,3,4,75.0,1,1,100.0,1,2,1,Tim Hardaway Jr
Mitchell Robinson,2,4:31,20.6,2,28,0,0,0,1,2,50.0,0,0,0.0,0,1,1,Tim Hardaway Jr
CJ McCollum,1,3:41,20.3,0,26,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Tim Hardaway Jr
Damian Lillard,3,4:08,19.8,24,40,3,1,0,9,11,81.8,4,6,66.7,2,2,1,Tim Hardaway Jr
Cameron Johnson,2,4:01,19.7,5,23,0,0,0,2,2,100.0,1,1,100.0,0,0,0,Tim Hardaway Jr
Trey Murphy III,2,3:18,19.3,0,21,1,1,0,0,0,0.0,0,0,0.0,0,0,0,Tim Hardaway Jr
Nicolas Batum,4,3:51,19.2,1,22,0,0,0,0,0,0.0,0,0,0.0,1,2,0,Tim Hardaway Jr
Jose Alvarado,2,3:13,18.8,2,22,2,0,0,1,4,25.0,0,2,0.0,0,0,0,Tim Hardaway Jr
