Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Grant Williams,2,4:29,21.5,0,14,0,0,0,0,2,0.0,0,1,0.0,0,0,0,Tj Warren
Jalen Johnson,2,4:38,21.4,2,22,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Tj Warren
Juancho Hernangomez,2,3:40,20.2,0,18,0,1,0,0,0,0.0,0,0,0.0,0,0,0,Tj Warren
P.J. Washington,2,3:48,18.7,4,24,0,0,0,2,3,66.7,0,0,0.0,0,1,1,Tj Warren
Bobby Portis,1,2:57,17.4,0,26,0,1,0,0,0,0.0,0,0,0.0,0,0,0,Tj Warren
Anthony Lamb,1,3:03,17.4,4,12,1,0,0,1,2,50.0,1,2,50.0,1,2,1,Tj Warren
Keldon Johnson,2,2:58,17.4,0,7,0,2,0,0,4,0.0,0,3,0.0,0,0,0,Tj Warren
Chris Boucher,2,3:47,16.3,5,29,1,0,0,1,1,100.0,1,1,100.0,2,2,0,Tj Warren
Evan Mobley,1,2:35,16.0,0,15,0,1,0,0,0,0.0,0,0,0.0,0,0,0,Tj Warren
Malcolm Brogdon,2,2:59,15.2,2,17,2,0,1,1,2,50.0,0,0,0.0,0,0,0,Tj Warren
Stanley Johnson,2,2:34,15.2,2,14,1,1,0,1,1,100.0,0,0,0.0,0,0,0,Tj Warren
Moses Moody,1,2:32,15.1,3,18,0,0,0,1,1,100.0,1,1,100.0,0,0,0,Tj Warren
Josh Richardson,2,2:07,15.0,4,14,0,0,0,2,2,100.0,0,0,0.0,0,0,0,Tj Warren
Torrey Craig,1,3:05,13.7,1,11,0,1,0,0,0,0.0,0,0,0.0,1,2,0,Tj Warren
JT Thor,2,2:49,13.7,0,17,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Tj Warren
Kyle Kuzma,1,2:28,13.4,10,17,0,1,0,4,6,66.7,2,2,100.0,0,2,1,Tj Warren
Luguentz Dort,1,2:41,13.3,2,13,0,1,0,0,0,0.0,0,0,0.0,2,2,1,Tj Warren
Max Strus,1,2:54,12.9,2,13,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Tj Warren
Saddiq Bey,2,2:41,12.8,6,18,0,0,0,2,2,100.0,2,2,100.0,0,0,0,Tj Warren
AJ Griffin,2,2:32,11.5,0,10,1,1,0,0,2,0.0,0,2,0.0,0,0,0,Tj Warren
Bogdan Bogdanovic,2,1:48,11.4,0,9,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Tj Warren
Zach Collins,2,2:02,11.2,2,15,0,0,1,1,3,33.3,0,0,0.0,0,0,0,Tj Warren
Jalen McDaniels,2,2:17,10.8,0,9,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Tj Warren
Aaron Holiday,1,1:58,10.5,2,13,0,0,0,1,2,50.0,0,1,0.0,0,0,0,Tj Warren
Jayson Tatum,2,2:21,10.1,5,16,0,2,1,1,2,50.0,0,0,0.0,3,3,1,Tj Warren
Caris LeVert,1,2:38,10.0,6,14,0,0,0,2,2,100.0,1,1,100.0,1,1,1,Tj Warren
Isaiah Stewart,2,1:37,9.5,0,10,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Tj Warren
Patrick Williams,1,1:46,9.5,0,11,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Tj Warren
Jonathan Kuminga,2,1:43,9.5,0,4,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Tj Warren
Cameron Johnson,2,1:35,9.4,0,11,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Tj Warren
Trey Murphy III,1,1:26,9.3,0,11,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Tj Warren
Kai Jones,2,1:55,9.3,0,11,0,1,0,0,2,0.0,0,0,0.0,0,0,0,Tj Warren
Justin Holiday,2,1:48,9.3,0,14,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Tj Warren
Doug McDermott,2,2:08,9.1,2,4,1,0,0,1,1,100.0,0,0,0.0,0,0,0,Tj Warren
