Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Ayo Dosunmu,3,16:41,80.3,0,78,3,2,0,0,1,0.0,0,0,0.0,0,0,0,Trae Young
Killian Hayes,3,14:34,76.2,4,77,3,0,0,2,5,40.0,0,1,0.0,0,0,0,Trae Young
De'Anthony Melton,2,11:58,61.4,3,49,0,2,0,1,8,12.5,1,5,20.0,0,0,0,Trae Young
Andrew Nembhard,2,12:18,60.9,0,53,3,0,0,0,6,0.0,0,1,0.0,0,0,0,Trae Young
Mike Conley,2,12:02,59.7,8,43,4,3,0,4,5,80.0,0,1,0.0,0,0,0,Trae Young
Markelle Fultz,3,10:41,56.5,4,55,10,2,0,2,5,40.0,0,0,0.0,0,0,0,Trae Young
Herbert Jones,2,10:24,54.9,8,60,0,0,0,3,7,42.9,0,1,0.0,2,3,2,Trae Young
Terry Rozier,2,10:33,54.4,14,62,6,1,0,6,13,46.2,2,8,25.0,0,0,0,Trae Young
Matisse Thybulle,3,11:36,53.8,2,56,0,0,0,1,5,20.0,0,2,0.0,0,0,0,Trae Young
Kevin Huerter,2,9:26,53.8,5,41,1,1,0,2,7,28.6,1,3,33.3,0,0,0,Trae Young
Kenyon Martin Jr.,2,10:50,53.3,4,52,0,1,0,2,4,50.0,0,0,0.0,0,0,0,Trae Young
Luguentz Dort,2,9:26,52.9,13,63,2,0,0,5,9,55.6,3,3,100.0,0,0,0,Trae Young
Cole Anthony,4,10:05,49.2,16,63,5,1,0,6,9,66.7,1,2,50.0,3,3,3,Trae Young
Gary Trent Jr.,2,10:11,48.6,8,40,0,0,0,4,6,66.7,0,0,0.0,0,0,0,Trae Young
Juancho Hernangomez,2,10:22,47.3,6,44,0,0,1,3,6,50.0,0,2,0.0,0,1,1,Trae Young
Nicolas Batum,2,9:50,46.2,0,43,2,1,0,0,2,0.0,0,2,0.0,0,0,0,Trae Young
Donte DiVincenzo,1,8:42,44.8,3,49,0,0,0,1,3,33.3,1,3,33.3,0,0,0,Trae Young
Immanuel Quickley,3,8:15,39.7,2,32,1,0,0,1,1,100.0,0,0,0.0,0,0,0,Trae Young
Cory Joseph,3,7:60,38.2,4,47,2,0,0,1,3,33.3,0,1,0.0,2,2,0,Trae Young
Patrick Beverley,2,7:17,37.7,2,32,1,0,0,1,4,25.0,0,3,0.0,0,0,0,Trae Young
Danuel House Jr.,3,6:38,36.6,2,21,0,0,0,1,2,50.0,0,1,0.0,0,0,0,Trae Young
Coby White,3,6:49,36.5,2,33,2,0,0,1,4,25.0,0,2,0.0,0,0,0,Trae Young
Dennis Schroder,2,5:41,36.3,6,33,3,1,0,2,6,33.3,1,3,33.3,1,1,1,Trae Young
George Hill,2,7:04,36.2,0,45,1,1,0,0,0,0.0,0,0,0.0,0,0,0,Trae Young
Quentin Grimes,3,8:18,36.1,9,49,3,0,0,3,8,37.5,3,8,37.5,0,0,0,Trae Young
Fred VanVleet,2,7:11,34.6,0,25,1,0,1,0,4,0.0,0,3,0.0,0,0,0,Trae Young
Theo Maledon,2,6:35,31.9,3,40,3,0,0,1,4,25.0,1,2,50.0,0,0,0,Trae Young
Reggie Bullock,1,6:07,31.6,6,38,0,1,0,2,2,100.0,2,2,100.0,0,0,0,Trae Young
Joe Harris,1,5:18,30.4,5,33,2,0,0,2,3,66.7,1,1,100.0,0,0,0,Trae Young
Tyler Herro,2,5:47,29.4,11,38,3,0,0,4,8,50.0,0,3,0.0,3,3,1,Trae Young
Alex Caruso,2,4:47,29.2,5,23,0,0,0,2,3,66.7,1,2,50.0,0,0,0,Trae Young
Derrick White,1,5:28,29.1,7,29,2,1,0,3,5,60.0,1,1,100.0,0,0,0,Trae Young
Kyle Lowry,1,6:04,28.6,0,24,3,0,0,0,4,0.0,0,3,0.0,0,0,0,Trae Young
Jaden Ivey,2,5:18,27.4,0,26,0,0,0,0,2,0.0,0,1,0.0,0,0,0,Trae Young
Scottie Barnes,3,3:52,27.3,9,42,2,1,0,4,4,100.0,1,1,100.0,0,0,0,Trae Young
Gary Harris,1,5:09,27.1,0,19,0,2,0,0,2,0.0,0,1,0.0,0,0,0,Trae Young
Malik Beasley,2,5:05,27.1,3,35,0,2,0,1,3,33.3,1,2,50.0,0,0,0,Trae Young
Jevon Carter,2,5:13,26.7,0,20,1,0,0,0,2,0.0,0,2,0.0,0,0,0,Trae Young
Trey Murphy III,2,5:44,25.7,3,27,2,0,0,1,3,33.3,1,2,50.0,0,0,0,Trae Young
Dennis Smith Jr.,2,4:45,25.4,0,26,0,1,0,0,1,0.0,0,1,0.0,0,0,0,Trae Young
Jalen Brunson,3,4:28,25.1,2,18,2,1,0,1,3,33.3,0,0,0.0,0,0,0,Trae Young
Kevon Harris,3,5:03,24.9,2,26,0,1,0,1,1,100.0,0,0,0.0,0,0,0,Trae Young
Davion Mitchell,2,5:22,24.7,0,16,1,0,0,0,3,0.0,0,0,0.0,0,0,0,Trae Young
Damion Lee,2,5:34,24.5,2,16,1,1,0,1,5,20.0,0,2,0.0,0,0,0,Trae Young
Torrey Craig,2,3:37,22.9,0,34,0,3,0,0,0,0.0,0,0,0.0,0,0,0,Trae Young
Luke Kennard,1,4:21,22.5,5,27,0,1,0,2,2,100.0,1,1,100.0,0,0,0,Trae Young
Jalen Suggs,1,4:03,22.4,0,15,0,1,0,0,1,0.0,0,0,0.0,0,0,0,Trae Young
