Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Zach LaVine,1,6:42,36.1,13,37,3,5,0,6,9,66.7,1,2,50.0,0,0,0,Trent Forrest
Kyrie Irving,2,7:04,32.5,14,33,0,1,0,6,13,46.2,1,5,20.0,1,1,1,Trent Forrest
Tyus Jones,1,3:53,22.2,8,38,6,0,0,3,4,75.0,2,2,100.0,0,0,0,Trent Forrest
LaMelo Ball,1,3:54,18.7,10,18,1,0,0,3,6,50.0,3,5,60.0,1,1,1,Trent Forrest
Cole Anthony,2,3:03,15.4,0,13,4,0,0,0,0,0.0,0,0,0.0,0,0,0,Trent Forrest
Damian Lillard,1,3:03,15.3,8,18,0,0,0,1,5,20.0,1,4,25.0,5,5,2,Trent Forrest
Shake Milton,1,2:51,14.8,6,19,2,0,0,3,5,60.0,0,0,0.0,0,0,0,Trent Forrest
Terry Rozier,1,3:16,14.2,3,11,2,0,0,1,3,33.3,1,2,50.0,0,0,0,Trent Forrest
DeMar DeRozan,1,1:48,11.1,6,9,1,0,0,3,4,75.0,0,0,0.0,0,1,1,Trent Forrest
Seth Curry,2,1:53,9.7,2,8,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Trent Forrest
Terrence Ross,2,2:02,9.4,2,8,1,1,0,1,3,33.3,0,1,0.0,0,0,0,Trent Forrest
Kennedy Chandler,1,1:23,9.0,2,5,0,1,0,1,1,100.0,0,0,0.0,0,0,0,Trent Forrest
John Konchar,1,1:19,8.8,0,2,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Trent Forrest
T.J. Warren,2,1:31,8.4,2,14,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Trent Forrest
Dillon Brooks,1,1:44,7.6,0,5,0,1,0,0,0,0.0,0,0,0.0,0,0,0,Trent Forrest
Payton Pritchard,1,1:43,7.6,0,4,2,0,0,0,1,0.0,0,0,0.0,0,0,0,Trent Forrest
Franz Wagner,2,1:35,7.6,3,3,0,0,0,1,3,33.3,1,1,100.0,0,0,0,Trent Forrest
Admiral Schofield,2,1:26,7.3,3,9,0,0,0,1,1,100.0,1,1,100.0,0,0,0,Trent Forrest
Bruce Brown,1,1:37,7.1,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Trent Forrest
Dru Smith,1,1:48,6.9,2,9,1,0,0,1,2,50.0,0,0,0.0,0,0,0,Trent Forrest
Gordon Hayward,2,1:06,6.7,1,7,0,0,0,0,1,0.0,0,1,0.0,1,2,1,Trent Forrest
Markelle Fultz,2,0:53,6.4,2,9,2,0,0,0,0,0.0,0,0,0.0,2,2,1,Trent Forrest
Edmond Sumner,2,1:08,5.9,0,6,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Trent Forrest
Moritz Wagner,1,0:45,5.9,0,7,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Trent Forrest
Nikola Vucevic,1,1:20,5.8,0,4,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Trent Forrest
Ben Simmons,2,1:08,5.5,2,2,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Trent Forrest
