Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Josh Giddey,1,1:47,10.7,2,6,1,1,0,1,1,100.0,0,0,0.0,0,0,0,Trevelin Queen
Aaron Wiggins,1,2:09,10.2,0,9,1,0,1,0,1,0.0,0,0,0.0,0,0,0,Trevelin Queen
David Roddy,1,1:54,9.9,0,4,0,0,1,0,1,0.0,0,0,0.0,0,0,0,Trevelin Queen
Shaedon Sharpe,1,1:32,8.0,0,9,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Trevelin Queen
Isaiah Joe,1,1:24,5.9,0,4,0,0,1,0,1,0.0,0,1,0.0,0,0,0,Trevelin Queen
Jake LaRavia,1,1:07,5.3,0,8,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Trevelin Queen
Justise Winslow,1,0:55,4.6,2,2,0,1,0,1,1,100.0,0,0,0.0,0,0,0,Trevelin Queen
Zach LaVine,1,0:48,4.6,1,5,0,0,0,0,0,0.0,0,0,0.0,1,2,1,Trevelin Queen
Jalen Williams,1,0:47,4.1,0,5,0,0,0,0,2,0.0,0,2,0.0,0,0,0,Trevelin Queen
Shai Gilgeous-Alexander,1,0:29,4.1,0,5,2,0,0,0,0,0.0,0,0,0.0,0,0,0,Trevelin Queen
Donte DiVincenzo,1,0:42,4.1,0,3,0,0,1,0,1,0.0,0,0,0.0,0,0,0,Trevelin Queen
Anfernee Simons,1,0:56,3.9,0,5,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Trevelin Queen
Ish Smith,1,1:15,3.8,0,1,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Trevelin Queen
Tre Mann,1,0:55,3.7,0,3,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Trevelin Queen
Luguentz Dort,1,0:44,3.6,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Trevelin Queen
Jaylin Williams,1,0:48,3.0,0,6,0,1,0,0,0,0.0,0,0,0.0,0,0,0,Trevelin Queen
Darius Bazley,1,0:26,2.7,0,0,0,1,0,0,0,0.0,0,0,0.0,0,0,0,Trevelin Queen
Davon Reed,1,0:30,2.6,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Trevelin Queen
Markelle Fultz,1,0:31,2.4,2,2,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Trevelin Queen
Josh Hart,1,0:23,2.4,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Trevelin Queen
Moses Moody,1,0:33,2.3,0,0,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Trevelin Queen
Mike Muscala,1,0:24,2.1,0,3,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Trevelin Queen
Ayo Dosunmu,1,0:25,2.0,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Trevelin Queen
Draymond Green,1,0:16,1.9,0,4,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Trevelin Queen
Jordan Poole,1,0:33,1.9,5,5,0,0,0,2,2,100.0,1,1,100.0,0,0,0,Trevelin Queen
Derrick Jones Jr.,1,0:23,1.8,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Trevelin Queen
Wendell Carter Jr.,1,0:11,1.8,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Trevelin Queen
Klay Thompson,1,0:13,1.6,0,4,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Trevelin Queen
Christian Braun,1,0:22,1.6,0,5,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Trevelin Queen
Anthony Lamb,1,0:28,1.6,2,2,0,0,0,1,2,50.0,0,1,0.0,0,1,1,Trevelin Queen
Zeke Nnaji,1,0:28,1.5,0,6,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Trevelin Queen
Cole Anthony,1,0:10,1.4,0,5,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Trevelin Queen
Jeff Green,1,0:23,1.3,0,0,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Trevelin Queen
Jerami Grant,1,0:19,1.3,2,2,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Trevelin Queen
Xavier Tillman,1,0:14,1.3,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Trevelin Queen
Brandon Clarke,1,0:08,1.2,0,6,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Trevelin Queen
DeMar DeRozan,1,0:09,1.2,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Trevelin Queen
Bruce Brown,1,0:17,1.2,0,1,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Trevelin Queen
Moritz Wagner,1,0:12,1.1,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Trevelin Queen
Drew Eubanks,1,0:19,1.1,0,3,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Trevelin Queen
Jabari Walker,1,0:04,1.1,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Trevelin Queen
Aaron Gordon,1,0:02,1.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Trevelin Queen
Patrick Williams,1,0:13,1.0,0,4,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Trevelin Queen
Coby White,1,0:06,1.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Trevelin Queen
Desmond Bane,1,0:07,1.0,0,0,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Trevelin Queen
Jaren Jackson Jr.,1,0:06,1.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Trevelin Queen
Jonathan Isaac,1,0:08,0.9,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Trevelin Queen
Damian Lillard,1,0:17,0.9,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Trevelin Queen
Kennedy Chandler,1,0:07,0.8,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Trevelin Queen
Santi Aldama,1,0:08,0.7,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Trevelin Queen
