Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Devin Vassell,3,10:48,55.2,17,64,1,0,0,7,10,70.0,2,3,66.7,1,1,1,Troy Brown Jr
Keldon Johnson,4,8:55,46.1,13,40,1,0,0,5,16,31.3,2,6,33.3,1,2,1,Troy Brown Jr
Gordon Hayward,2,7:58,41.9,6,36,2,0,0,2,5,40.0,0,2,0.0,2,2,1,Troy Brown Jr
Jaylen Brown,2,7:21,39.6,17,39,0,0,0,7,8,87.5,2,3,66.7,1,4,1,Troy Brown Jr
Joe Harris,2,6:06,34.3,9,34,0,0,0,3,4,75.0,3,4,75.0,0,0,0,Troy Brown Jr
Trey Murphy III,2,7:16,33.7,5,27,2,0,0,2,4,50.0,1,3,33.3,0,0,0,Troy Brown Jr
Josh Hart,2,5:19,29.4,8,36,3,0,0,3,4,75.0,1,2,50.0,1,1,1,Troy Brown Jr
Kevin Huerter,3,5:53,28.9,9,43,1,0,0,3,5,60.0,3,5,60.0,0,0,0,Troy Brown Jr
Keegan Murray,3,5:05,28.1,7,30,0,0,0,2,3,66.7,1,2,50.0,2,2,1,Troy Brown Jr
Bennedict Mathurin,2,5:40,28.0,4,30,1,0,1,2,6,33.3,0,1,0.0,0,0,0,Troy Brown Jr
Torrey Craig,2,5:05,26.8,2,27,1,0,0,1,2,50.0,0,0,0.0,0,0,0,Troy Brown Jr
Paul George,2,5:56,26.7,16,36,1,0,0,6,9,66.7,2,4,50.0,2,2,1,Troy Brown Jr
Royce O'Neale,2,5:30,26.4,5,29,2,0,0,2,6,33.3,1,4,25.0,0,0,0,Troy Brown Jr
Dillon Brooks,1,4:14,25.7,4,21,1,0,0,2,5,40.0,0,1,0.0,0,0,0,Troy Brown Jr
Caris LeVert,2,5:20,25.4,2,23,3,1,0,1,4,25.0,0,2,0.0,0,0,0,Troy Brown Jr
