Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Caleb Martin,4,19:18,86.2,2,79,4,1,2,1,8,12.5,0,2,0.0,0,0,0,Tyrese Haliburton
Quentin Grimes,2,18:31,84.4,7,82,0,1,0,2,5,40.0,1,3,33.3,2,2,0,Tyrese Haliburton
Royce O'Neale,3,15:13,80.1,12,109,9,2,0,4,6,66.7,4,6,66.7,0,0,0,Tyrese Haliburton
Max Strus,4,13:54,62.8,16,57,3,1,0,6,14,42.9,4,10,40.0,0,0,0,Tyrese Haliburton
Isaac Okoro,3,12:30,61.4,10,69,0,0,0,4,5,80.0,2,2,100.0,0,0,0,Tyrese Haliburton
Jaden McDaniels,2,10:47,56.6,8,63,2,1,0,3,4,75.0,2,3,66.7,0,0,0,Tyrese Haliburton
De'Anthony Melton,2,12:07,52.7,3,47,0,1,1,1,5,20.0,1,3,33.3,0,0,0,Tyrese Haliburton
Monte Morris,3,10:29,51.7,8,53,5,0,0,3,8,37.5,2,4,50.0,0,0,0,Tyrese Haliburton
Gary Trent Jr.,2,10:33,48.2,7,39,1,0,0,2,7,28.6,1,3,33.3,2,2,1,Tyrese Haliburton
Terry Rozier,2,7:51,47.3,13,43,2,2,0,5,11,45.5,1,3,33.3,2,2,1,Tyrese Haliburton
Lamar Stevens,2,9:47,46.5,0,43,1,0,0,0,4,0.0,0,2,0.0,0,0,0,Tyrese Haliburton
Josh Hart,1,8:45,44.3,5,34,1,1,0,1,1,100.0,1,1,100.0,2,2,1,Tyrese Haliburton
Ayo Dosunmu,1,8:05,42.9,0,49,4,0,0,0,4,0.0,0,2,0.0,0,0,0,Tyrese Haliburton
Dennis Schroder,2,7:26,42.6,3,38,1,1,0,1,3,33.3,1,3,33.3,0,0,0,Tyrese Haliburton
Reggie Jackson,2,8:11,41.1,8,58,2,1,0,3,4,75.0,1,1,100.0,1,1,1,Tyrese Haliburton
Kentavious Caldwell-Pope,1,8:21,41.0,7,40,0,2,0,3,4,75.0,1,1,100.0,0,0,0,Tyrese Haliburton
Kevin Huerter,2,6:59,38.0,4,35,0,0,0,2,5,40.0,0,3,0.0,0,0,0,Tyrese Haliburton
Seth Curry,2,6:24,33.4,0,32,3,1,0,0,0,0.0,0,0,0.0,0,0,0,Tyrese Haliburton
Tyrese Maxey,2,7:56,33.1,3,41,1,0,0,1,5,20.0,1,2,50.0,0,0,0,Tyrese Haliburton
Donte DiVincenzo,1,5:36,31.9,6,44,0,0,0,2,5,40.0,2,4,50.0,0,0,0,Tyrese Haliburton
Patty Mills,3,6:17,30.0,5,34,2,0,1,2,7,28.6,1,3,33.3,0,0,0,Tyrese Haliburton
Jalen Suggs,2,5:01,30.0,11,33,2,1,0,5,7,71.4,1,2,50.0,0,0,0,Tyrese Haliburton
Haywood Highsmith,3,6:08,29.6,4,27,0,0,0,2,3,66.7,0,1,0.0,0,0,0,Tyrese Haliburton
Dejounte Murray,1,4:27,29.5,0,27,2,1,0,0,2,0.0,0,0,0.0,0,0,0,Tyrese Haliburton
Otto Porter Jr.,1,5:41,28.4,4,34,2,0,0,1,2,50.0,0,1,0.0,2,2,1,Tyrese Haliburton
Chuma Okeke,2,5:53,27.9,1,22,0,0,0,0,0,0.0,0,0,0.0,1,2,1,Tyrese Haliburton
Keegan Murray,2,5:07,27.4,5,24,1,2,0,2,4,50.0,1,3,33.3,0,0,0,Tyrese Haliburton
Herbert Jones,1,5:07,26.8,5,28,0,0,0,2,4,50.0,1,2,50.0,0,0,0,Tyrese Haliburton
Jaden Ivey,1,5:38,25.3,3,20,1,0,0,1,2,50.0,0,0,0.0,1,2,1,Tyrese Haliburton
Corey Kispert,1,5:39,25.3,0,25,2,0,0,0,2,0.0,0,2,0.0,0,0,0,Tyrese Haliburton
