Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Ziaire Williams,1,2:30,14.1,0,9,1,1,0,0,4,0.0,0,3,0.0,0,0,0,Tyrese Martin
Justin Jackson,1,1:41,7.9,0,7,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Tyrese Martin
Juancho Hernangomez,1,0:56,3.7,0,10,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Tyrese Martin
Thanasis Antetokounmpo,1,0:39,3.6,0,4,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Tyrese Martin
Hamidou Diallo,1,0:38,3.6,2,6,1,0,0,1,1,100.0,0,0,0.0,0,0,0,Tyrese Martin
Justin Champagnie,1,0:47,3.4,2,2,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Tyrese Martin
Rodney McGruder,1,0:23,3.3,0,3,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Tyrese Martin
Ryan Arcidiacono,1,0:39,3.0,0,4,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Tyrese Martin
Terry Taylor,1,0:44,2.8,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Tyrese Martin
Bryce McGowens,2,0:28,2.5,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Tyrese Martin
Brandon Clarke,1,0:20,2.4,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Tyrese Martin
JT Thor,2,0:29,2.2,0,4,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Tyrese Martin
Jake LaRavia,1,0:28,1.9,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Tyrese Martin
Jeff Dowtin Jr.,1,0:21,1.8,0,3,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Tyrese Martin
Santi Aldama,1,0:14,1.8,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Tyrese Martin
George Hill,1,0:24,1.6,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Tyrese Martin
Kai Jones,2,0:11,1.6,0,4,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Tyrese Martin
RJ Barrett,1,0:19,1.5,5,5,0,0,0,2,2,100.0,0,0,0.0,1,1,1,Tyrese Martin
James Bouknight,1,0:13,1.4,0,0,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Tyrese Martin
David Roddy,1,0:15,1.3,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Tyrese Martin
