Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Robert Covington,3,7:34,37.8,7,39,1,1,0,3,4,75.0,1,1,100.0,0,0,0,Vlatko Cancar
Trey Lyles,2,7:02,33.3,8,38,1,0,0,4,5,80.0,0,1,0.0,0,0,0,Vlatko Cancar
Jonathan Kuminga,1,6:34,31.9,10,30,1,0,0,4,5,80.0,1,1,100.0,1,2,1,Vlatko Cancar
Nathan Knight,4,6:03,30.4,2,27,2,0,0,0,2,0.0,0,0,0.0,2,2,1,Vlatko Cancar
Christian Wood,3,5:22,28.4,6,34,2,0,0,3,3,100.0,0,0,0.0,0,0,0,Vlatko Cancar
Taurean Prince,3,5:23,27.8,5,27,0,1,0,2,4,50.0,0,1,0.0,1,1,1,Vlatko Cancar
Matt Ryan,4,5:01,23.1,10,32,1,0,0,3,6,50.0,2,5,40.0,2,3,1,Vlatko Cancar
Jalen Johnson,2,3:57,22.4,2,15,0,0,0,1,4,25.0,0,1,0.0,0,0,0,Vlatko Cancar
Harrison Barnes,2,4:20,22.0,0,25,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Vlatko Cancar
Cole Swider,1,4:25,21.4,0,19,1,0,0,0,2,0.0,0,1,0.0,0,0,0,Vlatko Cancar
Kevin Love,1,4:28,20.7,0,21,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Vlatko Cancar
Jabari Smith Jr.,2,4:20,20.4,0,18,0,0,0,0,2,0.0,0,1,0.0,0,0,0,Vlatko Cancar
Kenyon Martin Jr.,2,5:06,20.4,0,11,1,0,0,0,1,0.0,0,0,0.0,0,0,0,Vlatko Cancar
Vit Krejci,2,3:48,20.1,2,30,3,1,0,1,1,100.0,0,0,0.0,0,0,0,Vlatko Cancar
Jalen Williams,2,2:43,14.7,2,16,1,2,0,1,3,33.3,0,0,0.0,0,0,0,Vlatko Cancar
Shai Gilgeous-Alexander,2,3:02,14.7,0,7,1,0,1,0,4,0.0,0,0,0.0,0,0,0,Vlatko Cancar
Luka Garza,3,2:36,14.7,6,33,1,0,0,1,1,100.0,0,0,0.0,4,4,2,Vlatko Cancar
Kawhi Leonard,2,3:17,14.5,0,8,0,0,0,0,3,0.0,0,0,0.0,0,0,0,Vlatko Cancar
Jaden McDaniels,3,3:03,14.5,2,8,0,0,0,1,3,33.3,0,0,0.0,0,0,0,Vlatko Cancar
Amir Coffey,2,2:20,14.2,2,10,0,0,1,1,3,33.3,0,1,0.0,0,0,0,Vlatko Cancar
Tim Hardaway Jr.,3,1:53,14.2,9,27,0,0,0,1,3,33.3,1,2,50.0,6,6,3,Vlatko Cancar
Josh Minott,2,2:18,13.1,4,11,0,0,1,2,3,66.7,0,0,0.0,0,0,0,Vlatko Cancar
Kyle Anderson,3,2:34,13.1,0,15,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Vlatko Cancar
Max Strus,1,2:23,12.9,6,14,0,0,0,2,4,50.0,1,2,50.0,1,1,1,Vlatko Cancar
Ish Wainright,1,2:30,12.7,0,9,1,0,0,0,1,0.0,0,1,0.0,0,0,0,Vlatko Cancar
Pat Connaughton,1,1:31,12.1,0,7,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Vlatko Cancar
Luka Doncic,3,2:13,11.4,6,15,1,0,0,2,4,50.0,2,3,66.7,0,0,0,Vlatko Cancar
Aleksej Pokusevski,1,1:46,11.2,0,18,0,0,1,0,1,0.0,0,0,0.0,0,0,0,Vlatko Cancar
David Roddy,1,2:46,11.1,0,9,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Vlatko Cancar
Norman Powell,3,1:56,10.7,10,19,1,0,0,3,4,75.0,2,2,100.0,2,2,0,Vlatko Cancar
Dyson Daniels,2,2:30,10.4,2,11,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Vlatko Cancar
Wenyen Gabriel,2,1:46,10.0,2,11,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Vlatko Cancar
Joe Ingles,1,1:45,9.9,2,16,1,0,0,1,2,50.0,0,1,0.0,0,0,0,Vlatko Cancar
Sam Hauser,2,2:21,9.7,2,6,0,0,0,1,2,50.0,0,1,0.0,0,0,0,Vlatko Cancar
Ziaire Williams,1,1:52,9.7,0,7,1,1,0,0,0,0.0,0,0,0.0,0,0,0,Vlatko Cancar
Tari Eason,2,1:52,8.9,0,8,0,0,0,0,2,0.0,0,2,0.0,0,0,0,Vlatko Cancar
Andrew Wiggins,1,1:15,8.8,1,10,0,0,0,0,1,0.0,0,0,0.0,1,2,1,Vlatko Cancar
