Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Ish Smith,2,3:53,20.7,0,16,2,0,0,0,1,0.0,0,0,0.0,0,0,0,Wendell Moore Jr
Ja Morant,1,4:33,19.1,4,19,1,1,0,1,2,50.0,0,0,0.0,2,2,0,Wendell Moore Jr
Josh Giddey,2,3:12,18.0,2,28,2,0,0,1,2,50.0,0,0,0.0,0,0,0,Wendell Moore Jr
Shai Gilgeous-Alexander,2,1:33,10.7,2,7,0,0,0,1,2,50.0,0,0,0.0,0,0,0,Wendell Moore Jr
Bones Hyland,1,2:07,10.3,3,14,0,0,0,1,1,100.0,1,1,100.0,0,0,0,Wendell Moore Jr
Vlatko Cancar,3,1:03,7.4,3,12,1,0,0,1,1,100.0,1,1,100.0,0,0,0,Wendell Moore Jr
Shaedon Sharpe,2,1:24,7.4,2,10,0,0,0,1,2,50.0,0,0,0.0,0,0,0,Wendell Moore Jr
Luguentz Dort,2,1:18,7.1,3,7,0,0,0,1,2,50.0,1,1,100.0,0,0,0,Wendell Moore Jr
Kentavious Caldwell-Pope,2,0:52,6.1,3,9,0,0,0,1,1,100.0,1,1,100.0,0,0,0,Wendell Moore Jr
Luke Kennard,1,0:57,6.0,3,11,0,0,0,1,2,50.0,1,2,50.0,0,0,0,Wendell Moore Jr
Terance Mann,1,1:10,6.0,0,6,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Wendell Moore Jr
Nicolas Batum,1,1:04,5.6,3,7,0,0,0,1,1,100.0,1,1,100.0,0,0,0,Wendell Moore Jr
Spencer Dinwiddie,2,1:23,5.5,2,2,0,0,0,0,1,0.0,0,1,0.0,2,2,1,Wendell Moore Jr
Reggie Jackson,1,1:20,5.1,2,3,0,1,0,1,1,100.0,0,0,0.0,0,0,0,Wendell Moore Jr
Kemba Walker,1,1:08,5.1,0,5,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Wendell Moore Jr
Leandro Bolmaro,1,0:50,5.1,0,8,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Wendell Moore Jr
Steven Adams,1,0:57,5.0,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Wendell Moore Jr
Dillon Brooks,1,0:29,4.4,1,3,0,0,0,0,1,0.0,0,0,0.0,1,2,1,Wendell Moore Jr
Robert Covington,2,1:08,4.3,0,8,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Wendell Moore Jr
Scottie Barnes,1,1:00,4.2,4,4,0,0,0,2,2,100.0,0,0,0.0,0,0,0,Wendell Moore Jr
Jaren Jackson Jr.,1,0:45,4.1,0,5,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Wendell Moore Jr
Devon Dotson,1,1:22,4.1,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Wendell Moore Jr
Bruce Brown,2,0:50,4.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Wendell Moore Jr
Isaiah Joe,2,0:34,4.0,0,7,2,0,0,0,0,0.0,0,0,0.0,0,0,0,Wendell Moore Jr
Aleksej Pokusevski,1,0:30,3.9,2,4,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Wendell Moore Jr
Ayo Dosunmu,1,0:33,3.6,0,3,0,0,1,0,2,0.0,0,0,0.0,0,0,0,Wendell Moore Jr
Jeff Green,1,0:53,3.5,0,4,1,0,1,0,2,0.0,0,0,0.0,0,0,0,Wendell Moore Jr
David Roddy,1,0:24,3.4,0,5,0,1,0,0,0,0.0,0,0,0.0,0,0,0,Wendell Moore Jr
Eugene Omoruyi,2,0:22,3.3,6,8,0,0,0,3,3,100.0,0,0,0.0,0,0,0,Wendell Moore Jr
John Konchar,1,0:34,3.3,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Wendell Moore Jr
Damian Lillard,1,0:53,3.2,5,7,0,0,0,1,3,33.3,0,2,0.0,3,3,1,Wendell Moore Jr
Aaron Nesmith,1,0:45,3.2,0,7,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Wendell Moore Jr
Moses Brown,2,0:26,3.0,0,3,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Wendell Moore Jr
Jalen Williams,2,0:21,3.0,0,4,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Wendell Moore Jr
Trendon Watford,1,0:25,3.0,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Wendell Moore Jr
Christian Braun,1,0:38,2.9,2,6,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Wendell Moore Jr
Tyus Jones,1,0:32,2.8,0,2,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Wendell Moore Jr
Jeremiah Robinson-Earl,1,0:22,2.8,0,7,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Wendell Moore Jr
Johnny Davis,1,0:38,2.7,3,3,0,0,0,1,1,100.0,0,0,0.0,1,1,1,Wendell Moore Jr
Davon Reed,2,0:20,2.7,0,4,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Wendell Moore Jr
Jordan Poole,1,0:31,2.7,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Wendell Moore Jr
Ochai Agbaji,2,0:27,2.7,0,2,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Wendell Moore Jr
Tyrese Haliburton,1,0:14,2.5,0,7,2,0,0,0,0,0.0,0,0,0.0,0,0,0,Wendell Moore Jr
Talen Horton-Tucker,1,0:26,2.5,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Wendell Moore Jr
Brandon Boston Jr.,2,0:32,2.5,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Wendell Moore Jr
Peyton Watson,1,0:28,2.4,5,9,0,0,0,2,2,100.0,1,1,100.0,0,0,0,Wendell Moore Jr
Santi Aldama,1,0:20,2.3,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Wendell Moore Jr
Justise Winslow,2,0:17,2.2,0,4,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Wendell Moore Jr
Aaron Wiggins,1,0:15,1.9,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Wendell Moore Jr
Malik Monk,1,0:09,1.8,2,2,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Wendell Moore Jr
