Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Aaron Nesmith,2,7:06,32.8,5,26,0,0,0,1,2,50.0,1,2,50.0,2,3,0,Will Barton
Haywood Highsmith,3,6:39,30.6,3,37,0,0,0,1,1,100.0,0,0,0.0,1,1,1,Will Barton
Dean Wade,2,6:35,29.8,3,29,0,0,0,1,2,50.0,1,2,50.0,0,0,0,Will Barton
Cam Thomas,3,5:59,28.9,5,39,1,0,0,1,3,33.3,1,1,100.0,2,2,1,Will Barton
Joe Harris,3,5:55,27.5,2,25,1,0,0,1,3,33.3,0,0,0.0,0,0,0,Will Barton
Cedi Osman,2,7:13,26.7,5,32,0,0,0,2,3,66.7,1,2,50.0,0,0,0,Will Barton
Jalen McDaniels,4,5:32,26.6,5,29,0,0,0,2,3,66.7,1,2,50.0,0,0,0,Will Barton
Josh Green,2,4:16,25.7,8,37,1,0,0,4,4,100.0,0,0,0.0,0,0,0,Will Barton
Austin Reaves,2,4:34,24.3,0,26,2,0,0,0,0,0.0,0,0,0.0,0,0,0,Will Barton
Jake LaRavia,2,5:18,24.0,0,17,1,1,0,0,0,0.0,0,0,0.0,0,0,0,Will Barton
Christian Braun,1,4:36,23.5,3,26,0,0,0,1,1,100.0,0,0,0.0,1,2,1,Will Barton
Dennis Smith Jr.,3,3:25,23.3,2,28,3,0,0,1,1,100.0,0,0,0.0,0,0,0,Will Barton
Malik Beasley,2,4:20,22.4,10,36,2,0,0,4,6,66.7,1,2,50.0,1,1,1,Will Barton
Amir Coffey,1,4:34,22.1,3,22,1,1,0,1,1,100.0,1,1,100.0,0,0,0,Will Barton
James Bouknight,1,4:44,21.7,4,21,2,0,0,2,4,50.0,0,1,0.0,0,0,0,Will Barton
Coby White,3,3:37,21.1,3,14,0,0,0,1,1,100.0,1,1,100.0,0,0,0,Will Barton
Jalen Williams,2,4:06,20.5,4,18,1,1,0,1,1,100.0,0,0,0.0,2,2,1,Will Barton
Sam Hauser,2,3:57,20.2,6,20,1,1,0,2,2,100.0,1,1,100.0,1,1,1,Will Barton
John Konchar,2,4:37,20.0,0,16,0,0,0,0,2,0.0,0,2,0.0,0,0,0,Will Barton
Jamal Cain,3,3:55,19.8,2,19,0,0,0,1,2,50.0,0,1,0.0,0,0,0,Will Barton
Reggie Bullock,2,3:39,19.3,0,21,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Will Barton
Tim Hardaway Jr.,2,3:10,18.8,0,16,0,0,0,0,2,0.0,0,1,0.0,0,0,0,Will Barton
Ayo Dosunmu,3,3:30,18.4,0,16,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Will Barton
Nickeil Alexander-Walker,1,3:23,18.3,2,21,2,1,0,1,1,100.0,0,0,0.0,0,0,0,Will Barton
Bruce Brown,1,2:21,17.0,2,16,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Will Barton
