Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Corey Kispert,3,5:29,28.2,3,11,1,1,1,1,5,20.0,1,4,25.0,0,0,0,Yuta Watanabe
Russell Westbrook,2,4:10,25.7,0,27,7,2,1,0,4,0.0,0,1,0.0,0,0,0,Yuta Watanabe
Shai Gilgeous-Alexander,1,4:06,25.7,12,26,0,0,0,5,10,50.0,1,3,33.3,1,2,1,Yuta Watanabe
Deni Avdija,3,4:23,23.9,1,19,1,1,0,0,2,0.0,0,1,0.0,1,2,1,Yuta Watanabe
Chris Duarte,2,4:34,22.2,7,21,0,2,0,3,3,100.0,1,1,100.0,0,0,0,Yuta Watanabe
P.J. Washington,2,4:15,21.5,4,14,1,0,0,2,3,66.7,0,1,0.0,0,0,0,Yuta Watanabe
Rui Hachimura,2,3:51,21.1,2,20,0,1,0,1,3,33.3,0,0,0.0,0,0,0,Yuta Watanabe
Cedi Osman,1,3:52,20.6,5,27,1,0,0,2,4,50.0,1,3,33.3,0,0,0,Yuta Watanabe
Bennedict Mathurin,3,3:23,20.1,6,19,0,0,0,3,8,37.5,0,2,0.0,0,0,0,Yuta Watanabe
Jalen McDaniels,2,3:50,18.0,0,14,1,1,0,0,2,0.0,0,2,0.0,0,0,0,Yuta Watanabe
Jaden Ivey,2,3:44,17.6,11,28,1,1,0,5,5,100.0,0,0,0.0,1,2,1,Yuta Watanabe
Derrick Jones Jr.,2,3:16,17.2,5,21,1,0,0,2,3,66.7,0,0,0.0,1,2,1,Yuta Watanabe
Maxi Kleber,2,4:03,16.9,4,16,1,0,0,1,3,33.3,1,2,50.0,1,2,0,Yuta Watanabe
Anthony Gill,2,3:36,16.8,4,11,0,0,1,2,3,66.7,0,0,0.0,0,0,0,Yuta Watanabe
Bojan Bogdanovic,2,3:23,16.3,2,17,0,0,2,1,4,25.0,0,0,0.0,0,0,0,Yuta Watanabe
Payton Pritchard,2,2:36,15.8,9,24,0,1,0,4,6,66.7,1,3,33.3,0,0,0,Yuta Watanabe
Grant Williams,2,3:50,15.4,2,19,0,0,0,1,2,50.0,0,1,0.0,0,0,0,Yuta Watanabe
Doug McDermott,2,2:33,15.2,0,12,0,0,0,0,2,0.0,0,2,0.0,0,0,0,Yuta Watanabe
Troy Brown Jr.,2,3:25,15.0,0,14,1,0,0,0,3,0.0,0,0,0.0,0,0,0,Yuta Watanabe
Jayson Tatum,2,2:35,14.4,7,20,0,0,0,3,8,37.5,1,4,25.0,0,0,0,Yuta Watanabe
Saddiq Bey,2,2:55,13.1,5,11,0,0,0,2,6,33.3,1,2,50.0,0,0,0,Yuta Watanabe
Santi Aldama,2,2:38,13.0,8,22,0,0,0,2,2,100.0,2,2,100.0,2,2,1,Yuta Watanabe
Obi Toppin,1,2:43,12.9,0,15,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Yuta Watanabe
Nicolas Batum,1,2:21,12.8,3,17,0,0,0,1,1,100.0,1,1,100.0,0,0,0,Yuta Watanabe
Patrick Williams,2,1:55,12.5,4,8,0,0,0,1,1,100.0,0,0,0.0,2,2,1,Yuta Watanabe
Jonathan Kuminga,2,2:32,12.3,2,7,0,1,0,1,3,33.3,0,2,0.0,0,0,0,Yuta Watanabe
Dorian Finney-Smith,1,2:24,12.1,0,8,0,1,0,0,0,0.0,0,0,0.0,0,0,0,Yuta Watanabe
Isaiah Stewart,2,2:49,12.1,5,19,0,0,0,1,3,33.3,0,0,0.0,3,3,2,Yuta Watanabe
Trey Murphy III,2,2:06,12.0,0,13,1,1,0,0,0,0.0,0,0,0.0,0,0,0,Yuta Watanabe
Trey Lyles,1,2:38,12.0,1,11,0,1,0,0,2,0.0,0,1,0.0,1,2,1,Yuta Watanabe
Kevin Huerter,1,2:02,12.0,5,21,1,0,0,2,2,100.0,1,1,100.0,0,0,0,Yuta Watanabe
Kyle Kuzma,3,2:25,11.9,2,12,0,1,0,1,4,25.0,0,2,0.0,0,0,0,Yuta Watanabe
Fred VanVleet,1,2:37,11.8,7,15,0,0,0,3,3,100.0,0,0,0.0,1,1,1,Yuta Watanabe
Daniel Gafford,3,2:10,11.7,3,9,0,0,0,1,2,50.0,0,0,0.0,1,2,1,Yuta Watanabe
Tyrese Haliburton,2,2:17,11.5,5,17,0,1,0,2,4,50.0,1,2,50.0,0,0,0,Yuta Watanabe
Jake LaRavia,2,1:59,11.3,3,16,0,0,0,1,1,100.0,1,1,100.0,0,0,0,Yuta Watanabe
Tyrese Maxey,1,2:14,11.2,0,10,2,0,1,0,2,0.0,0,1,0.0,0,0,0,Yuta Watanabe
David Roddy,2,1:56,11.1,2,12,1,0,0,1,4,25.0,0,2,0.0,0,0,0,Yuta Watanabe
JT Thor,2,2:31,10.8,0,8,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Yuta Watanabe
Ty Jerome,2,2:02,10.8,4,12,0,0,0,1,2,50.0,0,0,0.0,2,2,1,Yuta Watanabe
Luke Kornet,2,2:03,10.4,4,7,0,1,0,2,3,66.7,0,0,0.0,0,0,0,Yuta Watanabe
Will Barton,2,1:60,10.4,3,12,1,0,1,1,2,50.0,1,1,100.0,0,0,0,Yuta Watanabe
Kendrick Nunn,2,1:43,10.3,2,11,1,0,0,0,3,0.0,0,1,0.0,2,2,1,Yuta Watanabe
James Johnson,2,1:56,10.3,0,10,1,0,0,0,1,0.0,0,0,0.0,0,0,0,Yuta Watanabe
Anfernee Simons,1,2:05,10.3,4,8,0,0,0,2,4,50.0,0,1,0.0,0,0,0,Yuta Watanabe
Patrick Baldwin Jr.,1,1:36,10.1,9,17,0,0,0,3,3,100.0,3,3,100.0,0,0,0,Yuta Watanabe
Norman Powell,1,2:01,10.1,2,10,1,0,0,1,1,100.0,0,0,0.0,0,0,0,Yuta Watanabe
Killian Hayes,2,1:43,10.0,7,12,0,1,0,3,4,75.0,1,1,100.0,0,0,0,Yuta Watanabe
Jerami Grant,1,2:21,9.9,0,10,1,1,0,0,1,0.0,0,0,0.0,0,0,0,Yuta Watanabe
Wenyen Gabriel,2,1:33,9.9,6,19,0,0,1,3,5,60.0,0,0,0.0,0,0,0,Yuta Watanabe
