Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Quentin Grimes,3,24:20,105.6,19,124,4,4,0,7,13,53.8,5,11,45.5,0,0,0,Zach Lavine
Caris LeVert,3,17:11,77.2,11,95,1,2,0,4,13,30.8,1,7,14.3,2,4,2,Zach Lavine
Marcus Smart,3,12:35,64.7,0,52,3,1,0,0,5,0.0,0,3,0.0,0,0,0,Zach Lavine
Terry Rozier,2,10:28,54.7,17,52,0,0,1,6,10,60.0,2,2,100.0,3,3,2,Zach Lavine
Royce O'Neale,3,10:10,53.6,2,54,4,0,0,1,5,20.0,0,4,0.0,0,0,0,Zach Lavine
Grant Williams,4,12:03,53.4,11,63,0,0,0,4,7,57.1,3,6,50.0,0,0,0,Zach Lavine
Dejounte Murray,2,10:49,53.3,12,53,3,3,0,5,11,45.5,1,4,25.0,1,1,1,Zach Lavine
Corey Kispert,2,8:52,48.0,3,32,2,2,0,1,4,25.0,1,4,25.0,0,0,0,Zach Lavine
Jevon Carter,2,8:19,45.7,0,38,1,1,0,0,1,0.0,0,1,0.0,0,0,0,Zach Lavine
Andrew Wiggins,2,8:10,45.4,0,52,1,1,0,0,4,0.0,0,3,0.0,0,0,0,Zach Lavine
Jalen McDaniels,3,9:39,42.7,4,30,2,1,0,2,7,28.6,0,1,0.0,0,0,0,Zach Lavine
Derrick White,4,7:03,40.7,2,42,2,2,0,1,2,50.0,0,0,0.0,0,0,0,Zach Lavine
De'Anthony Melton,2,8:41,40.6,11,45,2,1,0,4,4,100.0,3,3,100.0,0,0,0,Zach Lavine
Deni Avdija,2,7:41,39.7,7,38,2,0,0,3,5,60.0,1,1,100.0,0,0,0,Zach Lavine
Dillon Brooks,1,7:35,39.2,0,34,2,1,0,0,6,0.0,0,3,0.0,0,0,0,Zach Lavine
Trent Forrest,1,8:29,39.0,6,38,0,0,0,3,5,60.0,0,0,0.0,0,0,0,Zach Lavine
Bogdan Bogdanovic,3,6:59,37.5,9,38,2,2,0,3,7,42.9,3,5,60.0,0,0,0,Zach Lavine
Luguentz Dort,2,7:40,37.1,5,52,0,1,0,1,2,50.0,1,2,50.0,2,2,1,Zach Lavine
Malcolm Brogdon,4,7:34,35.2,12,30,1,1,1,5,8,62.5,1,2,50.0,1,1,1,Zach Lavine
Cedi Osman,3,7:50,34.9,3,34,0,0,0,1,3,33.3,1,3,33.3,0,0,0,Zach Lavine
RJ Barrett,3,6:54,34.6,22,38,1,4,0,9,14,64.3,2,3,66.7,2,4,2,Zach Lavine
Grayson Allen,2,7:45,34.5,11,41,2,0,0,4,8,50.0,3,7,42.9,0,0,0,Zach Lavine
Mikal Bridges,1,6:27,34.0,2,40,2,0,0,1,3,33.3,0,1,0.0,0,0,0,Zach Lavine
Jordan Clarkson,2,6:17,33.7,5,34,3,1,1,2,8,25.0,1,5,20.0,0,0,0,Zach Lavine
Chris Duarte,2,7:05,33.4,0,25,2,0,0,0,5,0.0,0,3,0.0,0,0,0,Zach Lavine
Jayson Tatum,4,6:01,33.4,22,49,5,1,0,7,11,63.6,2,6,33.3,6,8,5,Zach Lavine
Klay Thompson,2,5:30,32.5,10,32,1,1,0,4,7,57.1,2,4,50.0,0,0,0,Zach Lavine
Jalen Williams,2,6:07,32.2,2,39,2,0,0,1,1,100.0,0,0,0.0,0,0,0,Zach Lavine
Immanuel Quickley,3,7:52,31.5,0,26,0,0,0,0,5,0.0,0,3,0.0,0,0,0,Zach Lavine
AJ Griffin,3,6:42,31.5,5,33,0,0,0,2,5,40.0,1,4,25.0,0,0,0,Zach Lavine
Collin Sexton,1,6:42,30.5,2,39,2,0,0,1,3,33.3,0,0,0.0,0,0,0,Zach Lavine
Tobias Harris,2,5:54,29.9,4,23,3,0,0,2,6,33.3,0,2,0.0,0,0,0,Zach Lavine
Kyrie Irving,2,5:55,29.5,4,17,2,0,1,2,9,22.2,0,3,0.0,0,0,0,Zach Lavine
Gary Trent Jr.,1,5:52,29.2,2,20,0,2,0,0,0,0.0,0,0,0.0,2,2,1,Zach Lavine
Victor Oladipo,1,6:10,27.8,2,30,1,1,0,1,5,20.0,0,4,0.0,0,0,0,Zach Lavine
Jaden Ivey,2,5:12,27.0,7,24,2,1,0,3,5,60.0,1,3,33.3,0,0,0,Zach Lavine
Gary Harris,2,5:09,27.0,5,23,0,0,0,2,3,66.7,1,2,50.0,0,0,0,Zach Lavine
Buddy Hield,2,5:01,26.9,6,24,1,0,0,2,7,28.6,2,5,40.0,0,0,0,Zach Lavine
Saddiq Bey,2,5:49,26.1,8,33,1,0,0,3,7,42.9,2,3,66.7,0,0,0,Zach Lavine
Anfernee Simons,1,5:43,25.8,9,24,3,0,0,4,6,66.7,1,3,33.3,0,0,0,Zach Lavine
Donovan Mitchell,3,5:31,25.7,17,27,1,4,0,6,8,75.0,3,3,100.0,2,3,2,Zach Lavine
Yuta Watanabe,3,5:48,25.2,5,30,0,0,0,2,4,50.0,1,3,33.3,0,0,0,Zach Lavine
Kentavious Caldwell-Pope,1,4:47,24.8,4,27,0,0,0,1,6,16.7,0,2,0.0,2,2,1,Zach Lavine
Jaylen Brown,4,5:36,24.7,4,26,2,2,0,2,7,28.6,0,5,0.0,0,0,0,Zach Lavine
Bojan Bogdanovic,2,4:49,24.4,8,26,2,2,0,4,10,40.0,0,3,0.0,0,2,0,Zach Lavine
Jaden McDaniels,1,3:56,24.1,2,28,2,2,0,1,3,33.3,0,1,0.0,0,0,0,Zach Lavine
Kevin Love,3,4:57,22.7,8,31,2,1,0,3,6,50.0,1,2,50.0,1,1,1,Zach Lavine
