,PLAYER,TEAM,GP,Poss,Freq%,PPP,PTS,FGM,FGA,FG%,eFG%,FT Freq%,TOV Freq%,SF Freq%,And One Freq%,Score Freq%,Percentile
0,Jarrett Allen,CLE,53,4.1,33.0,1.36,5.6,2.4,3.4,70.7,70.7,15.5,5.0,15.5,4.1,68.5,64.0
1,Domantas Sabonis,SAC,54,3.7,22.2,1.34,5.0,1.6,2.6,71.3,71.3,21.3,11.4,20.3,3.5,68.3,58.9
2,Evan Mobley,CLE,58,3.0,19.8,1.46,4.4,1.7,2.7,72.9,72.9,13.1,2.3,13.1,4.0,72.7,80.7
3,Nic Claxton,BKN,53,3.5,33.0,1.38,4.8,2.0,3.0,73.9,73.9,12.5,4.9,12.5,2.7,70.7,66.1
4,Bam Adebayo,MIA,53,3.3,16.0,1.25,4.2,1.9,2.9,63.2,63.2,11.9,4.5,11.9,2.8,61.9,42.2
5,Rudy Gobert,MIN,49,3.2,29.0,1.37,4.4,1.6,2.6,72.2,72.2,19.5,8.8,18.9,7.5,68.6,65.3
6,Aaron Gordon,DEN,49,2.8,18.5,1.46,4.1,2.3,2.3,79.6,79.6,14.7,4.4,14.0,2.2,76.5,82.8
7,Kevon Looney,GSW,57,2.5,44.8,1.33,3.3,1.1,2.1,66.7,66.7,19.7,2.1,19.7,4.2,69.7,55.9
8,Deandre Ayton,PHX,49,3.0,17.5,1.25,3.7,1.6,2.6,62.5,62.5,10.3,5.5,10.3,3.4,61.6,41.4
9,Mason Plumlee,CHA,56,2.3,21.3,1.38,3.1,1.6,1.6,75.3,75.3,28.3,6.3,27.6,4.7,73.2,67.7
10,Jonas Valanciunas,NOP,57,2.1,15.1,1.32,2.8,0.6,1.6,67.7,67.7,16.0,8.4,15.1,2.5,66.4,54.2
11,Kenyon Martin Jr.,HOU,57,1.8,17.8,1.49,2.7,1.6,1.6,77.5,77.5,16.2,4.8,16.2,5.7,75.2,85.5
12,Ivica Zubac,LAC,57,2.2,22.7,1.26,2.7,0.7,1.7,66.0,66.0,17.7,6.5,17.7,2.4,64.5,43.4
13,Brandon Clarke,MEM,50,2.4,28.0,1.28,3.1,1.0,2.0,67.6,67.6,15.0,3.3,15.0,3.3,64.2,47.5
14,Nikola Jokic,DEN,50,2.2,10.3,1.41,3.0,0.9,1.9,68.1,68.1,17.6,3.7,15.7,8.3,67.6,73.7
15,Jarred Vanderbilt,UTA,52,2.4,28.9,1.24,2.9,1.0,2.0,63.5,63.5,14.6,4.9,13.8,4.1,61.8,40.4
16,Myles Turner,IND,49,2.0,13.2,1.47,2.9,1.6,1.6,73.8,73.8,20.4,3.1,19.4,5.1,74.5,83.8
17,Larry Nance Jr.,NOP,48,2.1,31.0,1.4,2.9,1.9,1.9,73.0,73.0,10.9,4.0,10.9,3.0,69.3,71.4
18,Walker Kessler,UTA,56,1.8,27.6,1.38,2.5,1.5,1.5,76.5,76.5,12.7,6.9,10.8,2.9,71.6,68.4
19,Onyeka Okongwu,ATL,56,1.7,21.5,1.45,2.5,1.4,1.4,75.6,75.6,15.6,6.3,15.6,3.1,74.0,78.8
20,Clint Capela,ATL,42,2.3,22.3,1.38,3.2,1.2,2.2,70.3,70.3,7.1,2.0,7.1,2.0,69.4,67.0
21,Jalen Duren,DET,50,2.0,26.1,1.32,2.7,0.7,1.7,68.6,68.6,14.7,3.9,14.7,2.9,67.6,55.2
22,Daniel Gafford,WAS,54,1.7,25.1,1.46,2.4,1.3,1.3,75.4,75.4,30.0,3.3,30.0,10.0,75.6,81.1
23,Jakob Poeltl,SAS,46,2.4,20.6,1.17,2.8,1.0,2.0,63.3,63.3,11.7,8.1,11.7,0.9,60.4,26.3
24,Drew Eubanks,POR,55,1.8,35.4,1.31,2.3,0.6,1.6,68.5,68.5,6.1,5.1,6.1,2.0,65.3,51.9
25,Lauri Markkanen,UTA,54,1.8,8.9,1.29,2.4,0.6,1.6,62.4,62.4,16.2,3.0,15.2,5.1,64.6,48.1
26,Anthony Davis,LAL,34,2.4,10.5,1.5,3.6,1.1,2.1,74.6,74.6,14.6,3.7,14.6,4.9,74.4,90.0
27,Jimmy Butler,MIA,43,1.9,9.7,1.5,2.8,1.4,1.4,73.8,73.8,25.0,6.3,25.0,7.5,73.8,90.0
28,Scottie Barnes,TOR,55,1.9,11.7,1.12,2.2,0.7,1.7,54.3,54.3,14.0,4.7,14.0,4.7,55.1,19.2
29,Dwight Powell,DAL,54,1.5,26.8,1.49,2.2,1.2,1.2,76.2,76.2,25.3,2.5,25.3,7.6,75.9,87.5
30,Thomas Bryant,LAL,41,1.8,19.9,1.51,2.8,1.6,1.6,73.4,73.4,17.3,1.3,17.3,4.0,76.0,90.6
31,Alperen Sengun,HOU,52,1.9,13.0,1.11,2.1,0.6,1.6,61.7,61.7,9.0,12.0,9.0,2.0,57.0,18.5
32,Nikola Vucevic,CHI,57,1.3,7.8,1.49,1.9,1.1,1.1,78.1,78.1,8.1,8.1,8.1,2.7,73.0,85.9
33,Brook Lopez,MIL,55,1.5,11.7,1.27,1.9,1.3,1.3,63.9,63.9,16.7,3.6,16.7,6.0,64.3,45.8
34,LeBron James,LAL,44,1.2,4.3,1.93,2.4,1.1,1.1,94.0,94.0,14.8,1.9,14.8,9.3,92.6,100.0
35,Draymond Green,GSW,51,1.6,17.1,1.22,2.0,1.3,1.3,65.6,65.6,17.1,8.5,17.1,3.7,62.2,38.0
36,Mitchell Robinson,NYK,38,1.7,27.6,1.57,2.6,1.4,1.4,81.8,81.8,17.5,0.0,17.5,4.8,81.0,93.9
37,Ben Simmons,BKN,41,2.1,24.1,1.17,2.4,0.9,1.9,61.0,61.0,8.2,3.5,8.2,2.4,57.6,24.6
38,Kristaps Porzingis,WAS,48,1.7,8.2,1.21,2.0,0.3,1.3,59.7,59.7,25.9,7.4,25.9,9.9,60.5,34.3
39,Franz Wagner,ORL,57,1.1,6.3,1.49,1.7,0.8,0.8,75.0,75.0,26.2,4.6,23.1,4.6,76.9,87.2
40,Joel Embiid,PHI,44,1.6,5.4,1.41,2.2,1.1,1.1,72.3,72.3,27.5,8.7,27.5,4.3,71.0,73.4
41,Andrew Wiggins,GSW,37,1.8,11.0,1.42,2.6,1.6,1.6,72.1,72.1,13.4,3.0,13.4,7.5,70.1,75.1
42,Jusuf Nurkic,POR,45,1.7,12.6,1.21,2.1,1.3,1.3,62.1,62.1,23.1,7.7,24.4,6.4,60.3,33.1
43,Hamidou Diallo,DET,49,1.4,16.9,1.35,1.9,1.2,1.2,67.8,67.8,15.9,4.3,15.9,5.8,66.7,59.9
44,Bobby Portis,MIL,47,1.3,9.6,1.46,2.0,1.2,1.2,77.2,77.2,3.2,6.3,3.2,0.0,73.0,81.5
45,Klay Thompson,GSW,45,1.6,7.5,1.31,2.0,1.2,1.2,62.3,62.3,21.4,2.9,22.9,1.4,67.1,53.7
46,Jayson Tatum,BOS,54,1.4,5.2,1.18,1.7,1.3,1.3,60.9,60.9,6.4,7.7,6.4,2.6,57.7,27.6
47,Josh Giddey,OKC,51,1.5,8.6,1.17,1.8,0.4,1.4,63.4,63.4,3.8,7.6,3.8,1.3,59.5,24.2
48,Nick Richards,CHA,44,1.5,21.7,1.4,2.1,1.2,1.2,70.6,70.6,27.7,1.5,26.2,7.7,72.3,72.7
49,John Collins,ATL,49,1.3,10.1,1.44,1.8,0.9,0.9,76.1,76.1,21.0,8.1,21.0,3.2,74.2,77.4
50,Chris Boucher,TOR,52,1.5,16.8,1.11,1.7,1.2,1.2,58.3,58.3,17.9,7.7,17.9,2.6,57.7,18.9
51,Julius Randle,NYK,59,1.1,4.4,1.39,1.5,0.8,0.8,65.2,65.2,35.5,6.5,33.9,16.1,67.7,69.7
52,Jerami Grant,POR,54,1.1,5.9,1.4,1.6,0.9,0.9,63.8,63.8,26.7,5.0,26.7,10.0,66.7,72.7
53,Jalen Williams,OKC,52,1.2,9.5,1.4,1.6,0.9,0.9,74.5,74.5,16.7,8.3,16.7,3.3,70.0,72.7
54,Isaiah Hartenstein,NYK,59,1.2,21.4,1.22,1.4,0.9,0.9,64.3,64.3,14.5,10.1,11.6,5.8,59.4,37.5
