,PLAYER,TEAM,GP,Poss,Freq%,PPP,PTS,FGM,FGA,FG%,eFG%,FT Freq%,TOV Freq%,SF Freq%,And One Freq%,Score Freq%,Percentile
0,Kevin Huerter,SAC,56,3.2,24.1,1.08,3.5,1.3,2.8,45.8,60.3,4.4,10.0,3.3,0.6,41.7,72.8
1,Jordan Poole,GSW,60,2.4,11.3,1.05,2.5,0.8,1.9,44.2,54.0,11.1,12.0,8.3,2.1,43.8,68.1
2,Jalen Green,HOU,54,2.3,9.8,1.07,2.4,0.9,1.9,45.2,55.8,7.4,9.0,7.4,1.6,44.3,70.7
3,Jamal Murray,DEN,47,2.4,12.1,1.13,2.7,1.0,2.1,47.0,55.0,9.0,4.0,6.3,2.7,48.6,80.6
4,Keldon Johnson,SAS,54,2.4,11.1,0.95,2.3,0.7,1.9,39.6,45.5,16.2,10.0,16.2,3.8,43.1,56.5
5,Tyler Herro,MIA,47,2.8,13.3,0.94,2.6,1.0,2.3,43.6,51.4,5.4,12.0,5.4,2.3,40.0,53.9
6,Stephen Curry,GSW,38,2.6,10.3,1.2,3.1,1.0,2.2,43.5,58.8,9.3,7.0,9.3,4.1,43.3,84.9
7,CJ McCollum,NOP,54,2.0,9.1,1.03,2.1,0.7,1.6,43.8,52.8,10.2,12.0,8.3,4.6,41.7,66.4
8,De'Aaron Fox,SAC,54,1.8,7.5,1.14,2.0,0.8,1.5,51.2,57.9,8.4,5.0,7.4,0.0,52.6,81.5
9,Damian Lillard,POR,46,1.9,6.9,1.2,2.2,0.7,1.5,44.8,58.2,12.8,9.0,9.3,0.0,47.7,85.3
10,Keegan Murray,SAC,57,1.5,13.3,1.21,1.8,0.6,1.3,47.9,66.4,2.4,10.0,2.4,0.0,44.6,87.1
11,Terry Rozier,CHA,52,1.6,7.1,1.17,1.8,0.7,1.3,53.7,64.2,6.1,12.0,3.7,0.0,50.0,82.8
12,Buddy Hield,IND,62,1.5,9.3,1.0,1.5,0.5,1.2,42.9,53.9,4.4,12.0,4.4,1.1,39.6,64.4
13,Franz Wagner,ORL,60,1.7,9.3,0.9,1.5,0.5,1.4,36.8,41.4,10.9,6.0,9.9,3.0,39.6,44.4
14,Gary Trent Jr.,TOR,52,1.3,7.2,1.35,1.7,0.6,1.0,61.1,68.5,13.8,2.0,13.8,0.0,64.6,94.4
15,Malik Monk,SAC,56,1.6,11.8,0.96,1.6,0.6,1.3,48.0,55.3,3.3,16.0,3.3,1.1,41.3,57.6
16,Anfernee Simons,POR,56,1.2,6.1,1.23,1.5,0.5,1.1,50.0,62.5,5.8,7.0,4.3,0.0,49.3,89.2
17,Klay Thompson,GSW,48,2.2,10.5,0.79,1.7,0.6,2.0,32.6,42.1,2.9,9.0,2.9,1.9,30.5,25.4
18,Jordan Clarkson,UTA,60,1.4,6.8,0.92,1.3,0.4,1.2,36.6,43.7,9.2,10.0,9.2,1.1,37.9,47.8
19,Jalen Brunson,NYK,58,1.3,5.7,1.08,1.4,0.5,1.1,46.9,50.0,13.7,4.0,12.3,5.5,49.3,73.3
20,Kelly Oubre Jr.,CHA,37,1.8,8.7,1.2,2.1,0.7,1.4,52.9,62.7,15.4,9.0,13.8,3.1,52.3,86.5
21,RJ Barrett,NYK,55,1.2,5.7,1.17,1.4,0.5,1.0,52.8,58.5,15.4,8.0,15.4,4.6,53.8,82.3
22,Darius Garland,CLE,53,1.3,6.1,1.1,1.4,0.5,1.0,49.1,57.3,10.1,12.0,10.1,1.4,47.8,75.4
23,Harrison Barnes,SAC,59,1.2,9.4,1.04,1.3,0.4,0.9,40.7,50.9,18.1,8.0,19.4,2.8,44.4,67.2
24,Desmond Bane,MEM,37,2.1,10.4,0.97,2.0,0.8,1.8,42.4,49.2,7.9,7.0,6.6,1.3,43.4,61.5
25,Donovan Mitchell,CLE,52,1.5,6.3,0.91,1.4,0.4,1.3,34.3,39.6,11.3,6.0,7.5,1.3,38.8,46.8
26,Grayson Allen,MIL,55,1.5,15.4,0.91,1.3,0.5,1.1,41.7,50.8,10.0,18.0,10.0,2.5,38.8,46.8
27,Doug McDermott,SAS,53,1.5,16.8,0.89,1.4,0.5,1.3,37.1,48.6,2.4,12.0,2.4,0.0,34.1,41.8
28,Max Strus,MIA,59,1.7,13.9,0.73,1.2,0.4,1.5,26.4,35.1,5.0,8.0,5.0,0.0,28.0,19.0
29,Lauri Markkanen,UTA,56,1.0,4.8,1.29,1.3,0.4,0.8,55.8,65.1,17.9,12.0,17.9,7.1,53.6,92.6
30,Josh Richardson,SAS,43,1.8,15.4,0.93,1.7,0.7,1.6,40.0,47.9,3.9,7.0,3.9,2.6,38.2,52.2
31,Norman Powell,LAC,51,1.1,7.0,1.24,1.3,0.5,0.8,54.8,64.3,16.4,7.0,16.4,0.0,58.2,89.7
32,Bradley Beal,WAS,37,1.7,8.1,1.06,1.8,0.8,1.5,53.7,57.4,9.4,8.0,9.4,1.6,51.6,69.8
33,Dillon Brooks,MEM,54,1.4,8.5,0.91,1.3,0.5,1.3,38.6,45.0,4.0,4.0,4.0,1.3,38.7,45.3
34,Bennedict Mathurin,IND,62,1.0,6.1,1.05,1.1,0.4,0.8,44.2,48.1,18.8,6.0,20.3,7.8,46.9,67.7
35,Luka Doncic,DAL,51,1.3,4.4,0.97,1.3,0.5,0.9,55.6,61.1,14.7,22.0,13.2,2.9,47.1,59.5
36,Seth Curry,BKN,41,1.3,13.7,1.18,1.6,0.7,1.2,55.1,64.3,3.6,11.0,3.6,3.6,49.1,83.5
37,Kyrie Irving,BKN,40,1.9,7.9,0.83,1.6,0.6,1.6,35.5,42.7,9.1,12.0,9.1,1.3,36.4,30.2
38,Kevin Durant,BKN,39,1.4,5.4,1.19,1.6,0.7,1.1,61.4,64.8,9.4,13.0,9.4,5.7,54.7,84.1
39,Jaylen Brown,BOS,50,1.2,4.8,1.02,1.3,0.4,0.9,48.8,53.5,17.7,18.0,16.1,4.8,46.8,65.9
40,D'Angelo Russell,MIN,54,1.4,7.7,0.86,1.2,0.4,1.0,41.8,46.4,11.0,14.0,12.3,1.4,39.7,36.6
41,Mikal Bridges,PHX,56,1.2,7.4,0.93,1.1,0.4,1.1,38.3,41.7,10.4,1.0,7.5,1.5,43.3,49.6
42,Anthony Edwards,MIN,62,1.2,4.7,0.84,1.0,0.3,0.9,37.5,42.9,11.0,14.0,11.0,1.4,38.4,32.8
43,Kyle Kuzma,WAS,54,1.4,6.3,0.79,1.1,0.4,1.1,36.7,39.2,11.7,10.0,11.7,1.3,39.0,25.9
44,LaMelo Ball,CHA,35,1.5,6.0,1.11,1.7,0.7,1.3,51.1,64.4,1.9,15.0,1.9,1.9,43.4,78.9
45,Jerami Grant,POR,54,1.2,6.2,0.94,1.1,0.3,0.9,34.7,41.8,20.6,6.0,20.6,4.8,42.9,52.6
46,Kentavious Caldwell-Pope,DEN,59,1.2,11.5,0.84,1.0,0.4,1.0,42.4,44.1,7.2,10.0,7.2,2.9,40.6,34.1
47,Immanuel Quickley,NYK,61,1.0,8.0,0.93,0.9,0.3,0.9,39.6,52.8,0.0,12.0,0.0,0.0,35.0,51.5
48,Jayson Tatum,BOS,57,0.7,2.5,1.41,1.0,0.4,0.5,64.5,77.4,12.8,10.0,10.3,2.6,61.5,97.4
49,Devin Vassell,SAS,30,1.9,10.3,0.98,1.8,0.8,1.7,46.0,53.0,5.4,7.0,5.4,1.8,44.6,62.1
50,Gabe Vincent,MIA,47,1.3,11.9,0.92,1.1,0.4,1.1,34.6,42.3,10.2,7.0,10.2,5.1,35.6,47.4
51,Eric Gordon,HOU,47,1.4,10.7,0.83,1.1,0.4,1.1,35.8,42.5,12.3,11.0,12.3,4.6,36.9,29.7
52,Julius Randle,NYK,62,0.9,3.8,0.93,0.9,0.3,0.7,37.0,51.1,12.3,9.0,10.5,1.8,38.6,50.9
53,Ja Morant,MEM,50,1.0,3.5,1.06,1.0,0.4,0.7,52.8,56.9,14.3,14.0,14.3,2.0,51.0,69.4
54,Collin Sexton,UTA,47,0.9,7.1,1.16,1.1,0.3,0.5,64.0,72.0,20.5,23.0,20.5,2.3,54.5,81.9
55,Duncan Robinson,MIA,31,1.5,21.2,1.06,1.6,0.5,1.3,41.0,57.7,4.3,13.0,4.3,2.2,37.0,70.3
56,Tyrese Haliburton,IND,50,0.8,4.5,1.09,0.9,0.4,0.7,52.9,61.8,7.1,17.0,4.8,4.8,45.2,74.1
57,Gordon Hayward,CHA,36,1.3,8.7,1.0,1.3,0.5,1.1,47.5,53.8,8.7,7.0,8.7,2.2,45.7,64.4
58,Bojan Bogdanovic,DET,58,0.8,4.3,0.96,0.8,0.3,0.5,50.0,53.3,18.8,21.0,16.7,2.1,47.9,58.4
59,Damion Lee,PHX,61,0.9,10.8,0.84,0.8,0.3,0.6,48.6,54.1,7.3,27.0,5.5,1.8,38.2,33.2
60,Malik Beasley,UTA,55,1.1,8.1,0.77,0.8,0.3,1.0,30.9,40.9,1.7,8.0,1.7,1.7,28.3,24.1
61,De'Andre Hunter,ATL,50,1.0,6.3,0.94,0.9,0.4,0.8,46.3,50.0,4.2,8.0,6.3,0.0,43.8,53.2
62,Brandon Ingram,NOP,26,1.8,7.9,0.94,1.7,0.8,1.5,52.6,55.3,4.2,17.0,4.2,0.0,45.8,53.2
63,Fred VanVleet,TOR,50,1.0,5.2,0.85,0.9,0.3,0.9,37.0,41.3,7.7,8.0,5.8,3.8,36.5,34.6
64,Dejounte Murray,ATL,55,0.7,3.3,1.1,0.8,0.3,0.6,48.6,60.0,0.0,8.0,0.0,0.0,44.7,76.3
65,Garrison Mathews,HOU,45,0.9,19.4,1.08,0.9,0.3,0.8,36.1,54.2,2.6,5.0,2.6,0.0,35.9,72.4
66,Devin Booker,PHX,34,1.2,4.7,1.05,1.2,0.5,1.0,51.4,57.1,2.5,10.0,2.5,0.0,47.5,68.8
67,Tre Jones,SAS,52,0.9,6.4,0.89,0.8,0.3,0.7,39.5,43.4,10.6,9.0,10.6,0.0,42.6,42.2
68,Terrence Ross,ORL,42,1.5,18.4,0.67,1.0,0.5,1.3,37.0,37.0,1.6,13.0,1.6,0.0,33.3,10.1
69,Caris LeVert,CLE,58,0.8,6.4,0.85,0.7,0.2,0.6,34.4,37.5,21.3,13.0,17.0,2.1,40.4,35.3
70,Joe Harris,BKN,52,0.8,11.0,0.91,0.8,0.3,0.7,37.8,52.7,2.3,12.0,2.3,0.0,32.6,45.7
71,Zion Williamson,NOP,29,1.8,7.9,0.74,1.3,0.5,1.3,40.5,40.5,13.2,21.0,13.2,3.8,37.7,20.7
72,Kyle Lowry,MIA,44,1.3,10.0,0.7,0.9,0.3,1.0,28.3,38.0,3.6,14.0,3.6,0.0,26.8,14.3
73,Michael Porter Jr.,DEN,44,1.3,8.6,0.7,0.9,0.3,1.1,30.0,35.0,3.6,7.0,3.6,0.0,30.4,14.3
74,Derrick White,BOS,61,0.4,3.7,1.52,0.6,0.2,0.4,68.2,77.3,12.0,8.0,12.0,8.0,64.0,99.1
75,Cam Thomas,BKN,42,0.6,6.2,1.41,0.9,0.3,0.5,65.0,72.5,22.2,11.0,22.2,7.4,63.0,96.6
76,Pascal Siakam,TOR,51,0.8,3.4,0.88,0.7,0.3,0.7,43.2,45.9,9.3,7.0,9.3,2.3,44.2,40.5
77,Donte DiVincenzo,GSW,50,0.9,10.1,0.83,0.8,0.3,0.8,32.5,45.0,2.2,11.0,2.2,0.0,30.4,28.9
78,Jordan Nwora,MIL,38,0.9,13.7,1.09,1.0,0.3,0.8,34.5,48.3,14.7,0.0,11.8,0.0,44.1,73.7
79,Mike Conley,UTA,43,0.9,7.8,0.97,0.9,0.3,0.7,43.3,55.0,7.9,13.0,2.6,0.0,39.5,61.5
80,Jose Alvarado,NOP,60,0.7,6.8,0.9,0.6,0.2,0.6,36.4,40.9,14.6,7.0,14.6,2.4,41.5,44.8
81,Isaiah Joe,OKC,51,0.5,8.1,1.29,0.7,0.3,0.5,50.0,63.5,3.6,4.0,3.6,0.0,50.0,92.6
82,Kelly Olynyk,UTA,50,0.6,5.0,1.24,0.7,0.2,0.5,45.8,60.4,17.2,3.0,17.2,3.4,51.7,90.1
83,Naji Marshall,NOP,56,0.7,6.5,0.97,0.6,0.3,0.6,43.8,43.8,18.9,5.0,18.9,10.8,45.9,60.8
84,Kevin Porter Jr.,HOU,40,1.0,4.8,0.9,0.9,0.3,0.7,40.7,50.0,20.0,20.0,17.5,7.5,40.0,43.7
85,T.J. McConnell,IND,59,0.7,8.1,0.9,0.6,0.3,0.5,50.0,54.7,2.5,20.0,2.5,2.5,40.0,43.7
86,Pat Connaughton,MIL,41,1.0,12.3,0.84,0.9,0.3,0.9,34.3,44.3,11.6,7.0,11.6,0.0,37.2,33.6
