,PLAYER,TEAM,GP,Poss,Freq%,PPP,PTS,FGM,FGA,FG%,eFG%,FT Freq%,TOV Freq%,SF Freq%,And One Freq%,Score Freq%,Percentile
0,Luka Doncic,DAL,48,7.5,24.4,1.16,8.6,2.8,5.7,48.4,56.4,20.7,6.4,17.0,3.9,52.2,87.3
1,Shai Gilgeous-Alexander,OKC,51,6.3,22.8,1.05,6.6,2.2,4.8,45.5,47.3,19.7,6.9,18.8,3.1,51.1,75.6
2,James Harden,PHI,39,6.3,31.0,1.11,7.0,2.0,4.8,41.5,50.0,21.1,6.5,20.2,3.6,47.8,83.9
3,Julius Randle,NYK,58,4.9,20.3,0.97,4.7,1.6,3.5,44.9,48.8,19.4,12.7,17.7,4.6,46.6,63.4
4,Damian Lillard,POR,44,5.0,18.5,1.22,6.0,1.9,3.7,52.2,58.4,21.0,8.7,19.2,3.7,55.7,94.1
5,Joel Embiid,PHI,43,6.3,21.6,0.96,6.1,2.1,4.8,44.2,44.9,18.0,9.6,16.9,3.3,48.2,61.5
6,Anthony Edwards,MIN,59,4.4,17.7,0.98,4.3,1.6,3.8,42.9,49.6,7.4,5.8,7.4,1.2,43.2,63.9
7,Kyrie Irving,BKN,40,4.8,19.8,1.28,6.2,2.3,4.1,55.8,61.8,15.0,5.7,14.0,6.2,56.5,97.6
8,Jayson Tatum,BOS,53,4.7,17.0,0.94,4.5,1.3,3.6,35.8,42.0,16.3,8.4,15.1,1.6,42.2,57.6
9,Spencer Dinwiddie,DAL,53,4.3,25.9,0.99,4.2,1.3,3.2,39.5,45.6,18.1,7.1,17.7,1.8,46.5,64.4
10,Kevin Durant,BKN,39,5.4,21.6,1.02,5.6,2.0,4.2,48.5,50.6,13.2,12.3,12.3,2.4,48.1,72.2
11,DeMar DeRozan,CHI,52,3.5,15.0,1.19,4.2,1.3,2.5,51.2,51.6,29.7,6.6,28.6,7.1,58.2,92.2
12,Pascal Siakam,TOR,47,4.3,17.2,1.03,4.4,1.6,3.4,48.7,49.7,16.5,6.5,13.5,2.0,52.5,72.7
13,Giannis Antetokounmpo,MIL,45,4.5,14.4,0.88,3.9,1.4,3.3,41.9,42.2,19.9,10.4,18.9,5.0,45.8,45.9
14,Dejounte Murray,ATL,52,3.6,16.7,0.92,3.3,1.3,3.0,41.9,45.2,10.2,9.1,10.2,2.1,42.8,53.7
15,Trae Young,ATL,50,3.7,13.3,0.93,3.4,1.1,2.9,39.9,43.4,15.8,9.8,13.1,3.8,43.2,55.6
16,Jalen Brunson,NYK,54,2.8,12.7,1.13,3.1,1.2,2.4,51.2,55.0,12.6,6.0,11.3,4.0,52.3,85.4
17,Russell Westbrook,LAL,52,3.9,19.9,0.77,3.0,1.2,3.2,37.3,39.2,13.3,8.9,12.3,3.9,37.4,26.3
18,LeBron James,LAL,44,4.2,14.9,0.83,3.5,1.3,3.8,35.2,38.5,10.2,3.8,9.7,2.7,38.7,35.6
