,PLAYER,TEAM,GP,Poss,Freq%,PPP,PTS,FGM,FGA,FG%,eFG%,FT Freq%,TOV Freq%,SF Freq%,And One Freq%,Score Freq%,Percentile
0,Klay Thompson,GSW,48,6.0,28.9,0.96,5.8,2.1,5.4,38.2,51.5,2.4,8.0,2.4,0.3,36.5,54.4
1,Bojan Bogdanovic,DET,57,3.0,16.2,1.15,3.6,1.3,2.6,48.7,58.3,8.4,9.0,6.7,1.7,47.8,84.6
2,Lauri Markkanen,UTA,55,3.0,13.5,1.04,2.9,0.9,2.3,38.6,48.8,14.9,7.1,14.3,4.5,42.2,70.3
3,Malik Beasley,UTA,55,2.0,17.8,1.1,2.6,1.0,2.3,41.9,56.2,0.0,2.3,0.0,0.0,40.9,78.0
4,Jayson Tatum,BOS,56,2.0,8.0,0.99,2.2,0.8,1.9,40.4,48.1,11.2,8.8,12.0,4.0,40.8,56.6
5,Jordan Poole,GSW,60,2.0,9.5,1.0,2.0,0.6,1.6,37.8,50.5,11.6,10.7,11.6,3.3,38.8,62.3
6,Stephen Curry,GSW,38,3.0,11.4,1.08,3.1,1.0,2.3,41.6,55.1,9.3,10.2,8.3,1.9,41.7,74.9
7,Jaylen Brown,BOS,49,3.0,10.4,0.85,2.3,0.9,2.2,38.5,46.8,5.4,12.3,5.4,1.5,36.2,32.4
8,Damian Lillard,POR,46,2.0,7.7,1.13,2.3,0.8,1.9,43.2,58.5,4.2,7.3,4.2,3.1,40.6,81.2
9,Devin Booker,PHX,34,3.0,10.2,1.13,2.9,1.0,2.0,50.7,57.5,13.8,12.6,13.8,3.4,49.4,81.9
10,Jordan Clarkson,UTA,59,2.0,8.7,0.88,1.6,0.6,1.6,38.7,46.8,7.3,9.1,7.3,1.8,37.3,34.6
11,CJ McCollum,NOP,53,2.0,8.6,0.93,1.8,0.6,1.8,36.2,45.2,6.0,3.0,6.0,3.0,37.0,45.6
12,Kevin Durant,BKN,39,2.0,9.4,0.99,2.3,1.0,1.9,52.7,53.4,10.9,15.2,9.8,6.5,46.7,56.0
13,Terry Rozier,CHA,51,2.0,9.0,0.84,1.7,0.6,1.8,34.8,41.8,4.9,5.9,4.9,1.0,35.3,30.2
14,Darius Garland,CLE,53,1.0,5.1,1.4,1.5,0.5,0.9,57.4,72.3,14.0,8.8,14.0,5.3,56.1,96.7
15,Paul George,LAC,45,2.0,8.1,0.94,1.8,0.6,1.6,36.5,45.9,7.1,7.1,7.1,2.4,36.9,50.5
16,Gary Trent Jr.,TOR,51,2.0,10.1,0.9,1.5,0.6,1.6,38.8,45.0,4.5,5.7,4.5,1.1,38.6,37.9
17,Desmond Bane,MEM,36,2.0,10.5,1.04,2.2,0.8,1.8,40.9,53.8,5.3,9.3,5.3,2.7,38.7,69.6
18,Anfernee Simons,POR,56,1.0,6.8,1.01,1.4,0.5,1.3,41.1,53.4,0.0,5.2,0.0,0.0,39.0,65.9
19,Max Strus,MIA,58,2.0,13.0,0.84,1.3,0.5,1.5,31.0,42.5,2.2,4.3,2.2,0.0,31.2,28.6
20,Donovan Mitchell,CLE,52,2.0,7.1,0.85,1.5,0.6,1.6,36.1,42.2,4.4,4.4,4.4,0.0,37.4,30.9
21,Mikal Bridges,PHX,56,1.0,8.0,1.03,1.3,0.6,1.2,47.8,50.7,6.8,4.1,6.8,2.7,47.9,67.0
22,Buddy Hield,IND,61,2.0,10.3,0.75,1.2,0.4,1.4,28.7,35.6,5.0,8.0,5.0,0.0,30.0,15.6
23,Tim Hardaway Jr.,DAL,55,1.0,8.3,1.16,1.3,0.4,1.0,38.9,50.9,15.6,3.1,15.6,3.1,43.8,85.2
24,AJ Griffin,ATL,56,1.0,16.5,0.9,1.3,0.5,1.3,40.5,45.3,3.8,2.5,2.5,0.0,40.5,39.0
25,Bradley Beal,WAS,37,2.0,9.9,0.9,1.9,0.8,1.6,47.5,50.8,5.1,16.7,5.1,0.0,42.3,37.4
26,Bogdan Bogdanovic,ATL,35,2.0,14.1,0.96,1.9,0.8,1.9,40.9,47.7,2.9,2.9,2.9,0.0,41.4,53.3
27,Kevin Huerter,SAC,56,1.0,9.2,0.96,1.2,0.4,1.1,36.5,50.8,1.4,7.2,1.4,0.0,34.8,52.7
28,Dillon Brooks,MEM,53,1.0,8.1,0.9,1.2,0.4,1.2,37.1,46.0,7.0,7.0,7.0,1.4,38.0,39.6
29,Doug McDermott,SAS,52,1.0,13.8,0.95,1.2,0.4,1.2,38.3,47.5,6.1,3.0,6.1,0.0,40.9,52.2
30,Kristaps Porzingis,WAS,51,1.0,6.9,0.89,1.2,0.4,1.1,35.2,40.7,14.1,9.9,12.7,0.0,40.8,35.2
31,Kawhi Leonard,LAC,35,2.0,9.0,0.98,1.8,0.8,1.6,47.4,50.9,3.2,6.3,3.2,0.0,46.0,55.5
32,Zach LaVine,CHI,56,1.0,5.4,0.9,1.1,0.4,1.1,35.6,48.3,4.3,10.1,2.9,0.0,34.8,38.5
33,Jerami Grant,POR,54,1.0,4.9,1.22,1.1,0.4,0.7,50.0,53.8,28.6,0.0,28.6,10.2,57.1,92.3
34,Michael Porter Jr.,DEN,43,2.0,11.8,0.78,1.4,0.6,1.7,33.8,40.1,1.3,5.3,1.3,0.0,32.9,19.2
35,Kelly Oubre Jr.,CHA,36,2.0,8.6,0.92,1.6,0.6,1.6,36.8,44.7,6.3,3.2,6.3,0.0,39.7,42.9
36,De'Andre Hunter,ATL,50,1.0,8.1,0.93,1.1,0.4,1.1,39.3,42.0,8.2,0.0,8.2,0.0,44.3,47.8
37,Andrew Wiggins,GSW,37,1.0,6.6,1.4,1.5,0.6,1.1,56.4,71.8,2.5,2.5,2.5,2.5,55.0,96.1
38,Bennedict Mathurin,IND,61,1.0,4.9,1.1,0.9,0.3,0.7,47.7,55.7,9.8,7.8,9.8,3.9,47.1,77.5
39,Anthony Edwards,MIN,62,1.0,4.9,0.73,0.9,0.3,1.0,32.8,38.5,8.0,12.0,8.0,1.3,32.0,13.3
40,Sam Hauser,BOS,58,1.0,14.7,1.2,0.9,0.3,0.7,43.9,63.4,2.2,6.7,0.0,0.0,42.2,90.1
41,Jamal Murray,DEN,46,1.0,5.4,1.1,1.2,0.4,0.9,45.2,59.5,4.1,10.2,2.0,0.0,42.9,79.7
42,Tyler Herro,MIA,46,1.0,5.5,1.02,1.2,0.5,1.0,46.7,53.3,5.8,9.6,3.8,1.9,44.2,66.5
43,Norman Powell,LAC,51,1.0,6.8,0.96,1.0,0.4,0.8,43.9,50.0,13.0,11.1,11.1,0.0,46.3,53.8
44,Franz Wagner,ORL,59,1.0,3.9,1.21,0.9,0.4,0.6,60.0,70.0,2.4,14.3,0.0,0.0,52.4,90.7
