,PLAYER,TEAM,GP,Poss,Freq%,PPP,PTS,FGM,FGA,FG%,eFG%,FT Freq%,TOV Freq%,SF Freq%,And One Freq%,Score Freq%,Percentile
0,Nikola Jokic,DEN,51,5.4,25.7,1.21,6.5,2.5,3.8,65.6,65.6,20.4,16.4,17.9,6.9,59.1,91.4
1,Joel Embiid,PHI,44,4.9,16.7,1.15,5.6,1.8,3.2,55.3,55.3,27.1,12.1,22.4,5.6,57.0,84.2
2,Nikola Vucevic,CHI,58,3.5,20.9,1.05,3.7,1.6,2.9,56.0,56.0,8.9,8.4,5.9,0.5,54.0,74.8
3,Deandre Ayton,PHX,50,4.3,24.9,1.0,4.3,1.9,3.5,53.7,53.7,7.5,10.8,6.6,0.5,51.2,63.5
4,Luka Doncic,DAL,50,4.0,12.9,1.05,4.2,1.5,2.9,51.7,51.7,23.2,6.6,22.7,5.1,55.6,74.1
5,Kristaps Porzingis,WAS,49,3.5,17.0,1.16,4.1,1.5,2.5,58.1,58.1,22.8,10.5,20.5,5.8,59.1,87.1
6,Jonas Valanciunas,NOP,58,3.4,25.1,0.98,3.4,1.3,2.4,52.9,52.9,19.0,17.0,17.0,6.0,50.0,56.1
7,Jusuf Nurkic,POR,45,4.0,28.7,0.91,3.6,1.4,2.8,50.4,50.4,15.7,16.3,15.7,4.5,47.2,42.4
8,Alperen Sengun,HOU,53,2.9,19.3,1.03,2.9,1.2,2.1,56.9,56.9,16.4,13.8,11.8,2.0,53.3,70.5
9,Giannis Antetokounmpo,MIL,46,3.5,11.3,0.9,3.2,1.2,2.3,52.9,52.9,19.0,19.6,14.7,2.5,47.9,39.6
10,Anthony Davis,LAL,35,4.2,18.3,1.0,4.2,1.5,3.1,46.4,46.4,20.5,8.2,17.8,4.1,50.7,63.5
11,Domantas Sabonis,SAC,55,2.5,15.0,1.0,2.5,1.1,1.9,57.3,57.3,11.4,15.7,9.3,0.7,52.9,63.5
