,PLAYER,TEAM,GP,Poss,Freq%,PPP,PTS,FGM,FGA,FG%,eFG%,FT Freq%,TOV Freq%,SF Freq%,And One Freq%,Score Freq%,Percentile
0,Trae Young,ATL,51,12.8,46.5,0.9,11.5,4.0,9.4,42.8,47.3,12.7,16.5,9.2,2.1,41.4,56.5
1,Ja Morant,MEM,47,13.2,47.7,0.93,12.3,4.5,10.1,44.3,47.4,15.8,11.7,15.0,4.0,45.3,66.9
2,DeMar DeRozan,CHI,53,10.2,43.5,1.08,10.9,4.4,8.1,54.1,54.5,13.2,10.2,12.8,3.7,52.6,92.6
3,Luka Doncic,DAL,49,10.6,34.6,1.07,11.3,4.1,7.8,53.0,59.7,14.8,15.0,13.3,3.5,49.3,91.8
4,Damian Lillard,POR,45,10.4,38.5,1.12,11.6,3.4,7.4,46.5,55.3,19.3,12.2,15.6,3.4,49.0,95.2
5,Donovan Mitchell,CLE,49,9.6,38.9,1.11,10.6,3.8,7.7,49.1,58.4,10.5,11.8,8.8,2.4,47.4,94.8
6,Jalen Brunson,NYK,55,9.3,42.5,0.97,9.0,3.4,7.6,45.3,48.7,12.3,9.3,10.9,2.9,45.9,74.7
7,De'Aaron Fox,SAC,51,8.7,37.4,1.0,8.7,3.3,6.6,49.7,52.1,13.5,12.6,11.9,2.5,48.4,81.7
8,Jalen Green,HOU,53,9.8,42.1,0.84,8.2,2.7,7.2,37.6,42.9,13.5,14.8,12.7,1.7,38.7,42.8
9,Darius Garland,CLE,50,9.0,42.6,0.96,8.6,3.3,6.9,47.0,52.0,9.8,14.4,7.6,1.3,44.4,70.9
10,Shai Gilgeous-Alexander,OKC,52,8.2,29.7,1.01,8.2,2.8,5.8,49.0,49.8,17.6,14.1,15.5,3.1,49.4,82.9
11,Tyrese Haliburton,IND,47,8.8,47.0,1.0,8.8,3.2,7.0,45.9,54.4,9.6,13.5,8.7,2.9,43.1,81.7
12,Dejounte Murray,ATL,53,7.9,36.9,0.95,7.5,3.3,6.9,47.8,50.3,4.3,9.1,4.3,1.4,45.0,68.8
13,Zach LaVine,CHI,53,8.2,36.2,0.9,7.4,2.6,6.5,40.2,46.1,11.2,11.9,10.8,2.5,40.6,56.1
14,Anthony Edwards,MIN,60,7.2,29.2,0.9,6.5,2.4,5.5,42.9,48.6,10.9,15.1,9.5,2.8,40.8,57.6
15,Anfernee Simons,POR,55,6.7,33.2,1.02,6.9,2.6,5.6,46.0,55.0,5.9,10.5,4.3,0.3,43.7,84.0
16,Fred VanVleet,TOR,49,7.8,39.2,0.97,7.6,2.7,6.4,41.7,49.0,9.9,10.4,8.3,1.6,41.9,75.5
17,CJ McCollum,NOP,51,7.5,33.9,0.92,6.9,2.6,6.0,43.6,48.5,9.4,12.9,8.4,2.4,42.0,62.8
18,Jrue Holiday,MIL,45,7.7,38.5,1.0,7.7,2.9,6.0,48.5,55.6,8.7,14.5,6.9,1.2,44.8,79.2
19,Stephen Curry,GSW,38,7.6,30.6,1.18,9.0,3.1,6.1,50.4,62.6,10.7,13.1,9.7,3.5,47.4,97.8
20,Tyler Herro,MIA,45,7.7,36.9,0.97,7.4,2.8,6.2,44.1,51.8,7.2,13.0,7.0,1.7,41.4,75.1
21,D'Angelo Russell,MIN,54,6.0,34.1,0.97,5.8,2.1,4.4,47.7,54.3,11.2,17.1,7.8,1.2,44.4,75.8
22,Franz Wagner,ORL,57,5.6,31.1,0.94,5.3,2.1,4.3,49.6,52.6,8.4,15.8,7.8,0.6,45.7,68.0
23,Jordan Clarkson,UTA,57,5.7,26.8,0.93,5.3,1.9,4.2,45.4,51.5,9.5,17.8,8.6,0.9,41.7,64.3
24,Paul George,LAC,42,7.1,30.9,1.0,7.1,2.6,5.4,48.9,57.3,8.1,16.2,6.1,1.0,44.1,82.5
25,Jamal Murray,DEN,45,6.2,31.4,1.05,6.5,2.6,5.1,50.0,56.5,7.9,10.1,5.8,1.1,47.7,88.8
26,Jordan Poole,GSW,57,5.7,26.7,0.88,5.0,1.8,4.3,41.2,48.2,9.5,17.5,8.3,2.1,38.0,51.7
27,Jayson Tatum,BOS,54,5.8,20.8,0.89,5.1,1.7,4.7,37.3,44.4,11.2,10.6,9.3,2.6,38.1,52.6
28,Terry Rozier,CHA,50,6.9,30.8,0.81,5.5,2.1,5.7,36.6,41.5,7.6,9.9,7.0,1.2,37.0,36.8
29,Kevin Porter Jr.,HOU,40,8.9,43.1,0.77,6.9,2.5,6.5,37.7,41.9,10.4,18.2,9.8,2.2,35.6,32.0
30,Chris Paul,PHX,37,8.2,56.5,0.9,7.4,2.8,6.4,43.6,48.3,9.5,13.5,4.6,0.7,42.4,56.9
31,LaMelo Ball,CHA,32,10.1,40.5,0.81,8.2,3.0,7.9,38.3,44.7,6.8,15.5,4.6,0.6,36.2,38.7
32,Jaden Ivey,DET,54,6.0,34.9,0.78,4.7,1.7,4.4,38.0,40.9,14.4,16.3,12.3,3.4,37.4,32.7
33,Kyrie Irving,BKN,40,6.0,24.7,1.02,6.2,2.4,5.3,44.8,52.9,6.6,8.3,6.2,2.1,43.6,84.8
34,Tre Jones,SAS,52,5.6,39.8,0.84,4.7,2.0,4.6,42.3,43.2,7.5,10.6,6.5,0.7,41.8,45.4
35,LeBron James,LAL,44,5.8,20.5,0.96,5.5,2.1,4.4,47.4,52.6,11.8,15.7,11.4,3.5,43.9,71.4
36,James Harden,PHI,40,6.3,30.7,0.93,5.8,1.9,4.3,44.7,52.4,13.1,21.8,11.5,2.4,40.5,64.9
37,Spencer Dinwiddie,DAL,53,4.0,24.4,1.06,4.3,1.6,3.2,49.4,57.1,12.7,11.7,12.7,4.2,47.4,90.0
38,Tyrese Maxey,PHI,37,6.3,33.6,0.97,6.1,2.4,5.3,45.1,48.7,11.5,6.8,11.5,2.1,46.6,74.3
39,Devin Booker,PHX,31,7.5,29.7,0.95,7.1,2.5,5.8,44.1,49.2,12.6,12.1,10.0,2.2,44.6,69.8
40,Paolo Banchero,ORL,51,5.0,22.9,0.86,4.3,1.4,3.6,39.9,43.4,16.6,14.2,15.4,3.2,41.5,48.3
41,Jaylen Brown,BOS,48,4.5,17.5,1.01,4.5,1.5,3.2,48.1,54.5,14.0,15.9,13.1,1.9,46.3,83.3
42,Immanuel Quickley,NYK,58,3.8,30.8,0.99,3.7,1.3,3.0,44.8,49.7,15.6,9.2,15.1,4.6,46.3,78.8
43,Jimmy Butler,MIA,43,4.9,25.4,1.02,5.0,1.7,3.7,45.9,46.2,21.0,9.0,17.6,5.7,50.0,84.4
44,Pascal Siakam,TOR,48,4.8,19.3,0.93,4.5,1.6,3.6,43.4,46.0,15.7,10.5,14.4,2.6,46.3,67.7
45,Josh Giddey,OKC,51,5.0,27.9,0.81,4.1,1.9,4.1,46.6,46.9,5.1,17.1,5.1,3.1,39.7,37.2
46,Norman Powell,LAC,49,3.9,25.7,1.07,4.2,1.3,2.8,45.7,51.1,18.7,11.4,15.5,1.6,49.7,91.4
47,Killian Hayes,DET,54,5.3,41.7,0.72,3.8,1.6,4.3,38.2,41.0,3.9,15.5,3.5,1.4,33.8,25.7
48,Alec Burks,DET,45,4.6,39.4,0.98,4.5,1.5,3.7,41.8,49.4,12.0,10.1,11.5,1.9,43.3,78.1
49,Mike Conley,UTA,43,5.2,46.2,0.9,4.7,1.6,3.8,41.5,48.8,10.7,18.3,9.4,2.2,38.8,57.2
50,Malcolm Brogdon,BOS,48,4.5,33.8,0.93,4.1,1.5,3.6,40.9,48.5,9.8,12.1,7.9,1.9,40.7,65.8
51,T.J. McConnell,IND,56,4.1,47.5,0.87,3.5,1.5,3.1,49.1,50.0,7.9,18.5,7.0,3.5,41.9,49.4
52,Keldon Johnson,SAS,51,4.0,18.5,0.96,3.8,1.5,3.1,48.1,50.3,14.3,12.3,13.8,3.4,47.8,72.9
53,Russell Westbrook,LAL,52,5.0,25.5,0.75,3.8,1.5,3.4,43.5,47.5,8.5,25.0,7.7,1.9,35.8,29.3
54,Monte Morris,WAS,48,3.7,37.1,1.1,4.0,1.7,3.3,52.2,57.3,5.1,8.0,5.1,2.3,49.4,94.1
55,Dennis Schroder,LAL,44,4.8,37.5,0.91,4.3,1.6,3.6,45.3,46.2,12.8,13.7,11.8,2.4,44.5,59.1
56,RJ Barrett,NYK,52,4.3,20.4,0.86,3.7,1.3,3.1,43.4,44.3,16.7,15.8,15.3,4.1,42.3,47.6
57,Bradley Beal,WAS,34,5.8,27.3,0.96,5.5,2.1,4.2,50.7,53.8,11.2,17.9,10.2,2.6,45.9,72.5
58,Tyus Jones,MEM,56,3.8,38.2,0.85,3.3,1.4,3.3,44.3,46.2,3.7,12.1,3.7,0.9,40.5,46.5
59,Cole Anthony,ORL,39,4.5,37.2,1.02,4.6,1.7,3.5,50.0,53.3,11.4,12.6,10.3,1.7,48.6,83.6
60,Kevin Durant,BKN,39,3.7,14.8,1.19,4.4,1.6,2.7,59.0,64.8,15.9,17.9,15.2,6.2,52.4,98.1
61,Giannis Antetokounmpo,MIL,45,3.5,11.2,1.1,3.8,1.3,2.4,56.6,58.5,25.6,12.2,24.4,6.4,55.8,94.4
62,Bennedict Mathurin,IND,59,3.2,19.0,0.9,2.9,1.0,2.4,41.0,44.6,17.8,13.1,16.8,3.7,42.9,55.0
63,Kyle Kuzma,WAS,51,4.0,17.9,0.84,3.4,1.4,3.1,44.4,47.2,8.4,14.3,7.9,1.5,40.9,45.0
64,Eric Gordon,HOU,47,3.7,28.4,0.98,3.6,1.3,2.6,48.4,54.5,13.9,19.1,12.7,3.5,43.9,76.6
65,Bones Hyland,DEN,43,4.3,34.3,0.9,3.8,1.4,3.4,40.5,49.0,6.6,13.7,5.5,1.1,38.3,55.8
66,Jaylen Nowell,MIN,60,2.9,25.4,0.93,2.7,1.1,2.5,43.1,48.7,6.3,6.9,5.2,1.1,43.1,66.5
