,PLAYER,TEAM,GP,Poss,Freq%,PPP,PTS,FGM,FGA,FG%,eFG%,FT Freq%,TOV Freq%,SF Freq%,And One Freq%,Score Freq%,Percentile
0,Joel Embiid,PHI,46,6.8,23.2,1.19,8.0,2.8,5.0,55.4,58.2,20.5,9.9,20.2,4.5,56.7,58.6
1,Deandre Ayton,PHX,51,4.6,27.1,1.22,5.6,2.6,4.1,63.5,63.7,9.3,5.9,9.7,3.8,60.6,64.2
2,Nikola Vucevic,CHI,59,4.6,27.1,1.04,4.8,2.1,4.2,50.4,53.9,3.3,5.6,3.3,0.4,49.1,32.1
3,Bam Adebayo,MIA,54,4.5,21.7,1.1,4.9,2.0,3.7,54.2,54.2,12.3,5.8,12.3,1.2,55.6,42.3
4,Evan Mobley,CLE,60,3.4,21.9,1.14,3.9,1.6,2.6,59.5,61.4,16.2,11.8,15.7,5.4,55.4,49.3
5,Anthony Davis,LAL,36,4.8,21.3,1.28,6.1,2.5,3.9,63.1,64.2,15.1,4.7,15.1,1.7,64.0,74.0
6,Christian Wood,DAL,49,2.9,18.4,1.51,4.4,1.7,2.5,65.9,76.4,14.7,4.9,14.0,5.6,65.7,94.4
7,Alperen Sengun,HOU,53,3.4,22.9,1.13,3.8,1.5,2.7,55.9,57.2,16.7,7.8,15.0,5.0,55.6,48.4
8,Myles Turner,IND,51,3.3,21.5,1.18,3.9,1.3,2.6,50.4,57.0,16.6,6.5,16.0,3.0,53.8,56.7
9,Jarrett Allen,CLE,55,3.1,24.6,1.17,3.6,1.5,2.5,62.5,62.9,10.1,11.3,8.9,2.4,58.3,53.8
10,Nikola Jokic,DEN,52,2.7,12.7,1.41,3.8,1.6,2.3,68.9,73.9,10.1,6.5,10.1,2.9,65.2,89.8
11,Brook Lopez,MIL,57,2.6,19.6,1.29,3.3,1.3,2.4,55.2,64.6,8.2,3.4,8.2,3.4,55.5,75.3
12,Domantas Sabonis,SAC,56,2.5,14.6,1.29,3.2,1.3,2.1,63.5,65.2,18.7,4.3,18.0,5.8,63.3,75.8
13,Clint Capela,ATL,43,2.9,28.1,1.41,4.1,1.9,2.6,73.0,73.0,13.5,4.0,13.5,5.6,72.2,89.3
14,Jonas Valanciunas,NOP,59,2.7,19.5,1.05,2.8,1.2,2.4,49.7,52.8,7.0,3.2,7.0,0.6,51.3,32.6
15,Kristaps Porzingis,WAS,50,2.9,14.1,1.13,3.2,1.0,2.3,43.6,51.7,18.1,3.5,16.7,2.8,50.0,46.5
16,Ivica Zubac,LAC,59,2.0,20.6,1.24,2.5,0.9,1.4,66.7,66.7,20.5,11.1,19.7,3.4,64.1,68.4
17,Nic Claxton,BKN,54,2.0,19.6,1.27,2.6,1.1,1.5,73.2,73.2,21.8,9.1,21.8,6.4,68.2,71.8
18,Rudy Gobert,MIN,50,2.2,19.0,1.29,2.8,1.1,1.6,69.1,69.1,23.1,6.5,22.2,4.6,68.5,74.9
19,Lauri Markkanen,UTA,55,1.9,9.2,1.3,2.5,0.8,1.6,51.1,59.4,16.2,1.9,13.3,3.8,56.2,78.1
20,Brandon Clarke,MEM,52,1.8,21.2,1.44,2.6,1.1,1.6,68.7,68.7,19.4,2.2,18.3,10.8,69.9,90.7
21,Naz Reid,MIN,53,2.2,22.5,1.17,2.5,1.0,1.9,53.4,60.7,6.1,6.1,6.1,1.7,52.2,52.6
22,Thomas Bryant,LAL,41,2.4,25.8,1.35,3.2,1.3,2.0,65.9,67.7,16.5,4.1,16.5,5.2,64.9,84.2
23,Dwight Powell,DAL,56,1.5,28.0,1.48,2.3,0.9,1.1,76.6,76.6,25.6,5.8,25.6,5.8,74.4,92.6
24,Mason Plumlee,CHA,56,1.9,17.8,1.19,2.3,0.9,1.4,62.3,62.3,28.3,7.5,27.4,8.5,61.3,60.0
25,P.J. Washington,CHA,59,1.6,10.5,1.32,2.1,0.8,1.4,57.1,64.3,11.6,2.1,9.5,2.1,60.0,79.5
26,Jakob Poeltl,SAS,46,2.4,20.2,1.12,2.7,1.2,2.0,61.1,61.1,12.8,9.2,12.8,4.6,56.0,45.6
27,Onyeka Okongwu,ATL,57,1.7,21.4,1.22,2.1,0.9,1.4,63.0,63.0,14.3,8.2,13.3,5.1,61.2,65.6
28,Isaiah Stewart,DET,49,2.1,17.7,1.19,2.4,0.8,1.4,56.3,62.7,23.8,7.9,21.8,3.0,58.4,59.5
29,Wendell Carter Jr.,ORL,40,2.6,17.8,1.11,2.9,1.2,2.2,56.3,61.5,6.7,10.6,6.7,1.9,51.9,44.7
30,Daniel Gafford,WAS,56,1.5,23.2,1.33,2.0,0.8,1.2,72.3,72.3,20.0,8.2,20.0,4.7,65.9,80.5
31,Jusuf Nurkic,POR,45,2.1,15.2,1.15,2.4,0.9,1.6,56.3,59.2,24.5,12.8,24.5,12.8,54.3,51.2
32,John Collins,ATL,50,1.7,13.8,1.17,2.0,0.8,1.5,54.7,58.0,10.5,4.7,10.5,2.3,55.8,54.9
33,Julius Randle,NYK,60,1.4,5.9,1.17,1.6,0.6,1.2,47.9,58.5,11.8,5.9,9.4,1.2,50.6,52.1
34,Jayson Tatum,BOS,56,1.6,5.8,1.08,1.7,0.6,1.3,46.6,56.8,10.0,10.0,10.0,1.1,46.7,38.6
35,Moritz Wagner,ORL,39,2.1,20.5,1.2,2.5,0.9,1.6,53.1,58.6,18.8,7.5,18.8,6.3,55.0,62.1
36,Giannis Antetokounmpo,MIL,47,1.9,6.1,1.08,2.0,0.7,1.4,51.5,56.1,21.6,4.5,21.6,3.4,52.3,39.1
37,Bobby Portis,MIL,47,1.8,12.7,1.13,2.0,0.8,1.5,50.0,61.1,3.6,8.4,3.6,0.0,47.0,47.4
38,Isaiah Jackson,IND,45,1.9,28.8,1.11,2.1,0.8,1.5,50.7,50.7,23.8,2.4,22.6,8.3,57.1,43.7
39,Andre Drummond,CHI,46,1.8,28.3,1.12,2.0,0.9,1.3,69.0,69.0,15.9,17.1,15.9,3.7,57.3,46.0
40,Zach Collins,SAS,49,1.8,17.2,1.07,1.9,0.8,1.6,51.3,56.4,8.1,5.8,8.1,4.7,50.0,36.7
41,Jalen Duren,DET,52,1.3,17.2,1.27,1.7,0.7,1.1,67.9,67.9,17.4,7.2,15.9,5.8,65.2,72.6
42,Jalen Smith,IND,51,1.7,17.9,1.01,1.7,0.6,1.4,44.9,52.2,12.9,7.1,14.1,2.4,45.9,30.2
43,Mike Muscala,OKC,43,1.5,27.0,1.33,2.0,0.7,1.4,50.8,66.1,6.3,0.0,6.3,0.0,54.0,82.9
44,Walker Kessler,UTA,58,1.1,15.7,1.34,1.4,0.7,0.9,70.4,70.4,11.5,1.6,11.5,1.6,68.9,83.7
45,LeBron James,LAL,46,1.4,5.1,1.23,1.8,0.8,1.3,58.3,63.3,9.1,4.5,7.6,4.5,57.6,66.4
46,Kenyon Martin Jr.,HOU,58,1.2,11.4,1.13,1.3,0.5,0.9,58.8,59.8,18.8,13.0,17.4,5.8,53.6,47.0
47,Mo Bamba,ORL,40,1.5,23.3,1.28,1.9,0.7,1.2,53.1,65.3,16.7,8.3,16.7,6.7,51.7,73.4
48,Nick Richards,CHA,45,1.3,19.5,1.28,1.7,0.7,1.0,65.2,65.2,23.3,8.3,23.3,8.3,65.0,73.4
49,Wenyen Gabriel,LAL,47,1.1,21.3,1.41,1.6,0.7,1.0,70.2,71.3,14.8,5.6,13.0,7.4,68.5,88.8
