,PLAYER,TEAM,GP,Poss,Freq%,PPP,PTS,FGM,FGA,FG%,eFG%,FT Freq%,TOV Freq%,SF Freq%,And One Freq%,Score Freq%,Percentile
0,Giannis Antetokounmpo,MIL,46,8.6,27.4,1.14,9.7,3.3,5.6,58.1,59.7,31.5,10.4,29.7,7.6,58.6,52.0
1,Shai Gilgeous-Alexander,OKC,52,5.9,21.4,1.25,7.3,2.4,4.3,56.6,59.7,23.5,8.5,21.6,4.2,59.8,72.0
2,LeBron James,LAL,44,7.1,25.2,1.21,8.7,3.2,5.1,62.8,65.9,21.0,13.4,20.1,5.4,59.6,66.3
3,Jaylen Brown,BOS,48,5.6,21.8,1.25,7.0,2.7,4.4,61.7,66.7,15.4,10.1,14.6,3.7,59.6,73.5
4,De'Aaron Fox,SAC,52,5.4,23.0,1.14,6.2,2.4,4.1,58.0,60.6,18.2,11.4,17.1,5.7,54.6,52.9
5,Anthony Edwards,MIN,60,5.1,20.6,1.04,5.3,1.9,3.5,52.9,57.4,19.1,18.4,18.4,6.6,48.4,32.4
6,Buddy Hield,IND,59,4.1,25.6,1.27,5.2,1.9,3.7,51.4,67.4,2.5,7.1,2.1,0.4,48.8,76.1
7,Ja Morant,MEM,47,5.4,19.4,1.16,6.2,2.3,3.9,60.8,64.4,17.4,15.4,15.8,4.7,55.7,55.4
8,Jordan Poole,GSW,58,4.2,19.7,1.17,5.0,1.8,3.2,56.0,63.0,14.6,13.0,12.2,2.4,54.1,58.2
9,Bennedict Mathurin,IND,59,4.1,24.0,1.19,4.9,1.5,2.8,53.3,60.0,24.4,10.7,24.0,3.3,56.6,62.1
10,Jayson Tatum,BOS,54,4.2,15.1,1.26,5.3,1.7,3.0,57.7,63.8,21.7,11.5,21.2,5.3,58.0,73.8
11,Zach LaVine,CHI,53,4.5,19.6,1.19,5.3,1.8,3.3,56.1,61.3,18.6,10.2,18.2,3.0,56.4,63.4
12,Trae Young,ATL,51,5.1,18.6,1.04,5.3,1.7,3.6,47.3,53.3,19.1,13.7,13.7,2.3,48.9,33.2
13,Gary Trent Jr.,TOR,50,4.2,24.7,1.19,5.0,1.7,3.6,47.5,56.6,13.2,2.8,11.8,1.4,52.4,62.6
14,Terry Rozier,CHA,50,4.3,19.4,1.13,4.9,1.9,3.6,51.9,58.6,11.1,8.8,10.2,3.7,50.5,50.9
15,Kyle Kuzma,WAS,52,4.3,19.2,1.08,4.7,1.8,3.3,56.1,61.7,10.8,15.2,10.8,2.7,49.3,42.1
16,Donovan Mitchell,CLE,49,4.0,16.3,1.22,4.9,1.8,3.1,58.6,67.4,12.2,13.3,9.2,3.1,54.1,67.6
17,Pascal Siakam,TOR,49,4.0,16.4,1.21,4.9,1.7,2.7,61.7,65.4,23.7,13.6,22.2,4.5,60.1,65.1
18,Bojan Bogdanovic,DET,55,3.5,18.2,1.21,4.3,1.5,2.7,54.8,64.0,14.0,10.9,11.4,1.0,54.4,66.1
19,Keldon Johnson,SAS,51,3.9,18.1,1.17,4.6,1.8,3.2,54.9,61.6,15.1,8.5,14.1,6.0,53.3,58.4
20,O.G. Anunoby,TOR,45,4.1,24.0,1.25,5.2,2.0,3.3,61.2,67.3,12.4,11.8,11.3,3.2,57.0,72.3
21,Lauri Markkanen,UTA,54,3.1,15.0,1.39,4.3,1.6,2.4,63.6,71.2,15.7,8.4,14.5,3.6,62.0,88.1
22,Mikal Bridges,PHX,56,3.4,21.0,1.2,4.1,1.4,2.8,52.3,60.6,13.1,7.9,13.6,2.6,52.9,64.1
23,Trey Murphy III,NOP,55,2.9,27.1,1.42,4.1,1.6,2.5,62.3,72.8,9.4,6.3,8.8,2.5,61.0,89.9
24,Jerami Grant,POR,54,3.1,16.4,1.37,4.2,1.5,2.4,64.1,71.5,18.8,6.7,20.6,4.8,63.6,85.9
25,Desmond Bane,MEM,34,5.5,28.1,1.19,6.6,2.3,4.7,49.7,61.0,10.6,8.5,9.6,3.7,48.9,62.4
26,Jalen Brunson,NYK,55,2.8,12.9,1.4,4.0,1.3,2.2,59.3,67.1,21.2,5.1,17.3,5.1,61.5,88.6
27,Fred VanVleet,TOR,50,3.8,19.0,1.14,4.3,1.3,3.0,44.3,54.0,17.5,6.3,14.3,2.6,49.7,52.2
28,Paolo Banchero,ORL,52,4.0,18.5,1.03,4.1,1.3,2.5,52.3,53.8,26.0,14.9,24.5,5.8,52.9,31.7
29,RJ Barrett,NYK,52,4.1,19.8,0.99,4.1,1.5,3.1,49.1,53.5,16.7,10.2,17.2,1.9,48.8,22.8
30,Jaden Ivey,DET,54,3.9,22.8,0.99,3.9,1.3,2.5,50.7,55.1,23.0,16.0,20.7,3.3,51.2,23.5
31,Franz Wagner,ORL,58,2.6,14.4,1.37,3.6,1.2,2.1,60.5,71.8,15.9,7.9,14.6,2.6,59.6,86.1
32,Jordan Clarkson,UTA,57,3.1,14.5,1.18,3.6,1.3,2.5,51.4,63.9,9.1,12.5,8.0,3.4,47.2,59.7
33,Jaylen Nowell,MIN,60,2.8,24.4,1.23,3.4,1.3,2.3,57.2,63.4,13.8,8.4,12.6,4.8,55.1,70.3
