,PLAYER,TEAM,AGE,GP,G,FREQ,FGM,FGA,FG%,EFG%,2FG FREQ,2FGM,2FGA,2FG%,3FG FREQ,3PM,3PA,3P%
0,Klay Thompson,GSW,33,47,47,48.6,3.6,9.0,40.2,58.2,5.6,0.4,1.0,36.5,42.9,3.2,8.0,40.6
1,Lauri Markkanen,UTA,25,56,56,40.9,2.9,6.8,42.3,62.6,1.2,0.1,0.2,55.0,39.7,2.8,6.6,41.9
2,Nikola Vucevic,CHI,32,59,58,46.6,2.6,6.5,40.2,52.8,14.0,1.0,2.0,49.2,32.6,1.7,4.6,36.2
3,Buddy Hield,IND,30,62,62,48.0,2.7,6.5,41.8,62.6,0.5,0.0,0.1,33.3,47.5,2.7,6.5,42.0
4,Tim Hardaway Jr.,DAL,30,55,55,52.3,2.4,6.4,36.6,54.1,1.8,0.1,0.2,50.0,50.5,2.2,6.2,36.2
5,Malik Beasley,LAL,26,59,59,51.5,2.3,6.3,36.8,53.9,2.4,0.1,0.3,51.7,49.1,2.1,6.0,36.0
6,Max Strus,MIA,26,59,59,58.3,2.2,6.3,34.9,52.2,0.3,0.0,0.0,66.7,58.0,2.2,6.2,34.8
7,Michael Porter Jr.,DEN,24,44,44,44.9,2.7,5.8,45.7,65.8,3.9,0.3,0.5,64.0,41.1,2.3,5.3,44.0
8,Cameron Johnson,BKN,26,21,20,54.3,2.3,5.8,40.5,60.3,1.8,0.1,0.2,26.3,52.5,2.3,5.6,41.1
9,Devin Vassell,SAS,22,29,29,35.6,2.6,5.7,46.1,67.3,3.7,0.2,0.6,35.6,32.0,2.4,5.1,47.3
10,Keegan Murray,SAC,22,57,57,59.3,2.4,5.7,41.4,61.6,1.3,0.1,0.1,41.7,58.1,2.3,5.6,41.4
11,Kelly Oubre Jr.,CHA,27,37,37,32.8,1.7,5.7,30.6,45.2,1.3,0.1,0.2,36.4,31.6,1.6,5.4,30.4
12,LaMelo Ball,CHA,21,35,35,27.5,2.2,5.6,39.3,58.9,0.1,0.0,0.0,0.0,27.4,2.2,5.6,39.5
13,Kyle Kuzma,WAS,27,54,53,31.0,1.9,5.6,34.9,51.7,1.3,0.1,0.2,29.2,29.7,1.9,5.3,35.1
14,Pat Connaughton,MIL,30,41,41,72.0,1.9,5.5,34.5,51.8,0.0,0.0,0.0,-,72.0,1.9,5.5,34.5
15,Kristaps Porzingis,WAS,27,51,51,35.9,2.1,5.5,38.5,55.2,4.1,0.3,0.6,42.9,31.8,1.8,4.8,37.8
16,Bogdan Bogdanovic,ATL,30,35,35,43.9,2.2,5.4,40.0,56.8,4.6,0.3,0.6,59.6,39.3,1.8,4.9,37.7
17,Stephen Curry,GSW,34,37,37,27.2,2.2,5.4,39.8,58.7,0.9,0.1,0.2,57.9,26.3,2.0,5.2,39.1
18,Jerami Grant,POR,28,54,54,36.8,2.1,5.4,39.5,58.2,2.0,0.1,0.3,36.7,34.8,2.0,5.1,39.7
19,Andrew Wiggins,GSW,28,36,36,37.7,2.3,5.4,43.0,63.5,1.4,0.1,0.2,57.9,36.3,2.2,5.2,42.4
20,Keldon Johnson,SAS,23,53,53,30.1,1.8,5.3,33.9,50.7,0.3,0.0,0.1,33.3,29.8,1.8,5.2,33.8
21,Jaylen Brown,BOS,26,50,50,25.6,1.7,5.2,33.1,48.1,2.4,0.2,0.5,33.3,23.2,1.6,4.7,33.1
22,Trey Murphy III,NOP,22,58,58,56.3,2.0,5.2,38.9,57.8,1.9,0.1,0.2,29.4,54.4,2.0,5.0,39.2
23,Karl-Anthony Towns,MIN,27,21,21,36.0,1.8,5.2,33.9,48.2,3.3,0.3,0.5,60.4,32.7,1.5,4.7,31.4
24,Gary Trent Jr.,TOR,24,52,51,34.6,2.0,5.2,39.2,58.4,1.0,0.0,0.1,26.7,33.5,2.0,5.0,39.6
25,Julius Randle,NYK,28,62,62,27.8,1.8,5.1,34.4,50.6,1.4,0.1,0.3,38.5,26.4,1.7,4.8,34.2
26,Anfernee Simons,POR,23,56,56,30.0,2.0,5.1,40.0,59.8,0.2,0.0,0.0,50.0,29.8,2.0,5.0,40.0
27,P.J. Washington,CHA,24,60,60,38.5,1.7,5.0,34.1,50.7,1.3,0.1,0.2,29.4,37.2,1.6,4.8,34.2
28,Al Horford,BOS,36,47,47,66.8,2.1,5.0,41.6,61.8,3.2,0.1,0.2,26.1,63.6,2.0,4.7,42.4
