,Player,Team,Age,Restricted Area_FGM,Restricted Area_FGA,Restricted Area_FG%,In The Paint (Non-RA)_FGM,In The Paint (Non-RA)_FGA,In The Paint (Non-RA)_FG%,Mid-Range_FGM,Mid-Range_FGA,Mid-Range_FG%,Left Corner 3._FGM,Left Corner 3._FGA,Left Corner 3._FG%,Right Corner 3._FGM,Right Corner 3._FGA,Right Corner 3._FG%,Corner 3_FGM,Corner 3_FGA,Corner 3_FG%,Above the Break 3._FGM,Above the Break 3._FGA,Above the Break 3._FG%
0,A.J. Lawson,DAL,22,2.7,3.2,85.7,0.9,1.8,50.0,0.9,1.7,53.3,0.2,0.8,20.0,0.2,0.2,100,0.3,0.8,33.3,0.8,2.5,33.3
1,AJ Green,MIL,23,3.9,5.8,67.5,2.0,4.4,45.0,0.9,2.2,40.4,0.2,0.9,25.0,0.2,0.9,26.7,0.4,1.6,25.8,2.1,5.9,35.0
2,AJ Griffin,ATL,19,8.2,12.6,65.1,2.6,6.3,40.4,1.8,4.2,42.1,1.0,2.3,44.4,0.8,2.1,37.6,1.7,4.1,41.4,3.4,10.4,32.6
3,Aaron Gordon,DEN,27,11.6,16.6,69.7,4.8,11.4,41.9,2.5,6.2,40.5,1.2,3.4,35.2,1.1,2.5,42.5,2.2,5.8,38.2,5.1,15.0,33.9
4,Aaron Holiday,ATL,26,6.4,9.4,68.2,1.6,4.3,35.9,1.0,2.6,36.6,0.8,1.6,50.7,0.5,1.4,38.5,1.2,2.7,44.9,2.4,7.1,33.3
5,Aaron Nesmith,IND,23,8.9,14.0,63.7,3.6,8.1,44.5,2.5,5.8,43.4,1.1,2.8,39.3,1.1,2.3,47.5,2.1,5.0,43.0,4.7,12.1,39.2
6,Aaron Wiggins,OKC,24,7.5,11.3,66.0,2.6,6.3,41.0,1.1,3.0,37.9,0.9,2.3,40.2,0.6,2.0,32.1,1.5,4.0,36.5,3.5,9.6,37.0
7,Admiral Schofield,ORL,25,4.4,6.2,71.9,1.7,3.7,45.3,1.0,2.4,39.3,0.4,1.1,36.0,0.9,1.7,53.8,1.3,2.7,46.9,2.9,7.9,36.6
8,Al Horford,BOS,36,10.4,15.4,67.5,5.2,12.6,41.6,3.9,8.5,46.0,0.6,1.8,35.0,0.8,2.2,34.3,1.3,3.9,34.6,6.1,17.4,35.2
9,Alec Burks,DET,31,8.6,12.6,68.5,3.7,8.2,44.8,1.9,3.9,47.0,0.9,2.3,39.3,0.7,1.8,38.8,1.6,4.0,39.0,3.6,11.1,32.1
10,Aleksej Pokusevski,OKC,21,8.5,13.5,63.0,3.2,7.5,43.1,1.6,3.9,41.0,1.1,2.6,42.7,1.1,2.9,38.3,2.1,5.3,40.5,4.7,11.4,41.4
11,Alex Caruso,CHI,28,8.0,12.0,66.5,2.7,6.5,41.1,2.1,5.1,40.4,0.9,2.3,39.3,0.7,2.3,31.8,1.6,4.5,35.6,5.0,13.8,36.1
12,Alex Len,SAC,29,1.6,2.5,63.6,0.2,0.8,18.2,0.3,1.2,21.4,0.4,0.8,50.0,0.4,0.8,50.0,0.6,1.1,50.0,0.6,2.1,29.6
13,Alize Johnson,SAS,26,2.3,5.5,40.9,0.8,2.8,27.3,0.3,1.3,25.0,1.0,1.0,100,0.3,1.7,20.0,0.7,2.0,33.3,1.8,3.8,46.7
14,Alondes Williams,BKN,23,3.0,5.0,60.0,2.0,2.0,100,0.0,0.0,0.0,0.0,1.0,0.0,-,-,-,0.0,1.0,0.0,1.0,2.0,50.0
15,Alperen Sengun,HOU,20,9.7,14.0,69.8,4.3,9.3,46.2,2.3,5.8,39.5,1.1,2.7,40.8,0.9,2.6,34.5,2.0,5.3,37.7,6.9,17.4,39.4
16,Amir Coffey,LAC,25,5.7,9.1,63.2,2.5,5.9,41.6,1.3,2.6,49.0,0.5,1.8,30.4,0.7,2.0,33.3,1.0,3.1,32.0,3.0,8.2,36.4
17,Andre Drummond,CHI,29,4.4,6.6,66.3,1.9,3.9,47.6,1.0,2.6,38.3,0.5,1.7,28.2,0.3,1.1,29.8,0.8,2.6,28.8,2.6,7.3,35.3
18,Andre Iguodala,GSW,39,2.3,4.7,50.0,5.3,8.3,64.0,1.7,6.0,27.8,0.7,0.7,100,0.0,1.5,0.0,0.7,1.7,40.0,1.0,5.3,18.8
19,Andrew Nembhard,IND,23,9.6,15.9,60.7,4.3,9.4,45.8,2.5,5.9,41.9,1.0,3.0,33.1,0.9,2.2,41.2,1.9,5.1,36.5,5.3,13.3,39.9
20,Andrew Wiggins,GSW,28,9.1,13.1,69.4,7.4,15.9,46.1,3.4,8.1,41.3,1.2,3.2,38.5,0.9,2.5,36.2,2.1,5.7,37.4,6.0,16.9,35.4
21,Anfernee Simons,POR,23,14.8,22.1,66.8,4.6,10.9,42.3,3.0,7.6,40.1,1.4,3.2,42.9,1.0,3.1,32.1,2.3,6.2,37.7,6.4,17.5,36.5
22,Anthony Davis,LAL,29,12.1,17.8,68.2,5.0,12.5,39.8,4.3,9.0,47.5,0.8,2.5,33.3,1.0,2.9,34.7,1.8,5.3,34.0,6.4,19.3,33.4
23,Anthony Edwards,MIN,21,14.1,21.6,65.3,5.2,11.9,43.6,2.5,7.1,35.7,1.0,2.9,35.6,1.4,3.5,40.5,2.4,6.4,38.2,7.2,19.8,36.2
24,Anthony Gill,WAS,30,3.5,5.1,67.3,1.8,4.1,43.8,0.9,2.1,41.9,0.4,1.1,35.5,0.6,1.2,48.1,0.8,1.9,41.4,1.9,5.2,36.0
25,Anthony Lamb,GSW,25,5.4,7.6,70.7,4.4,9.1,48.3,1.8,4.4,40.8,0.8,2.0,40.7,0.7,1.6,40.0,1.4,3.4,40.4,3.9,10.9,36.0
26,Austin Reaves,LAL,24,10.0,15.0,67.0,4.7,11.1,42.4,3.4,7.2,47.7,0.8,2.3,34.4,1.0,2.3,42.2,1.7,4.4,38.2,5.2,16.5,31.7
27,Austin Rivers,MIN,30,8.5,12.7,67.1,3.4,7.3,46.3,1.6,4.0,39.2,0.7,2.3,29.8,0.8,2.1,37.0,1.4,4.1,33.3,4.1,10.4,39.0
28,Ayo Dosunmu,CHI,23,11.3,16.6,68.2,3.2,8.2,38.7,2.3,5.7,40.2,1.1,3.1,36.8,0.9,3.0,28.9,1.9,5.9,32.8,5.9,15.7,37.3
29,Bam Adebayo,MIA,25,10.7,15.7,68.5,5.4,11.7,46.4,2.8,6.8,41.2,1.6,3.9,39.8,1.4,3.5,40.5,3.0,7.5,40.1,6.4,18.3,34.9
30,Ben Simmons,BKN,26,9.7,15.5,62.3,3.6,9.7,37.1,2.4,6.0,39.8,0.8,2.0,39.7,1.0,2.8,36.3,1.7,4.5,37.7,5.0,13.8,36.6
31,Bennedict Mathurin,IND,20,11.2,17.9,62.8,3.9,8.6,45.5,2.1,5.5,38.7,1.1,3.0,38.7,1.0,2.6,40.0,2.2,5.6,39.3,5.0,14.0,35.7
32,Bismack Biyombo,PHX,30,4.5,7.7,58.6,2.2,5.6,38.9,1.3,3.4,37.7,0.7,1.4,51.9,0.3,0.9,31.4,0.9,2.0,43.8,2.5,7.3,34.3
33,Blake Griffin,BOS,33,4.0,6.0,65.6,2.5,5.3,47.4,2.3,4.3,52.2,0.7,1.4,48.4,0.4,1.3,28.6,0.9,2.4,39.0,2.7,7.3,37.2
34,Blake Wesley,SAS,19,6.1,9.5,63.8,2.0,4.3,47.1,1.5,2.9,52.2,0.7,1.6,42.9,0.5,1.3,40.0,1.1,2.6,41.7,2.1,6.1,35.1
35,Boban Marjanovic,HOU,34,1.3,1.7,75.9,0.5,1.2,45.5,0.4,0.8,53.3,0.2,0.5,33.3,0.4,1.0,42.9,0.5,1.3,40.0,0.8,3.2,26.2
36,Bobby Portis,MIL,28,9.2,14.2,64.9,4.6,10.8,42.6,2.7,7.2,37.9,0.6,1.8,36.5,0.6,1.9,33.0,1.3,3.6,34.7,5.2,14.8,35.3
37,Bogdan Bogdanovic,ATL,30,12.1,18.5,65.2,3.6,8.4,43.3,3.1,6.9,44.6,1.4,3.2,42.5,1.2,3.2,36.6,2.5,6.4,39.6,5.3,15.6,33.7
38,Bojan Bogdanovic,DET,33,13.4,19.5,68.8,5.4,11.5,46.6,2.6,6.4,41.1,1.4,3.6,39.4,1.0,2.5,39.4,2.4,6.1,39.4,5.9,16.1,36.4
39,Bol Bol,ORL,23,8.7,12.0,72.4,2.6,6.6,39.4,2.2,4.8,46.9,1.0,2.7,36.3,1.1,2.4,43.8,2.0,5.0,39.8,4.5,13.6,33.0
40,Bones Hyland,LAC,22,8.0,10.8,73.5,2.8,6.3,44.0,1.4,3.5,40.3,0.9,2.5,36.8,0.7,1.6,45.5,1.6,3.9,40.1,3.7,10.0,37.1
41,Bradley Beal,WAS,29,11.3,16.7,67.6,5.8,14.2,41.1,2.9,7.7,38.4,0.8,2.3,35.7,0.9,2.7,33.3,1.7,4.9,34.4,6.5,17.4,37.2
42,Brandon Boston Jr.,LAC,21,4.5,6.6,68.8,2.2,4.7,45.7,1.2,2.8,41.5,0.4,1.5,26.1,0.6,1.6,37.5,0.7,2.3,30.8,2.5,5.8,43.8
43,Brandon Clarke,MEM,26,6.8,11.1,61.3,2.6,6.8,38.0,1.5,3.7,41.6,0.6,1.6,39.5,0.8,1.9,44.0,1.4,3.3,41.9,4.2,12.5,33.6
44,Brandon Ingram,NOP,25,11.3,16.1,70.2,5.4,11.4,47.7,2.9,7.5,38.3,0.9,2.8,32.4,1.1,2.9,37.7,2.0,5.6,35.0,6.1,17.4,35.1
45,Braxton Key,DET,26,1.3,1.3,100.0,0.3,1.3,25.0,0.5,0.5,100.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,1.0,3.7,27.3
46,Brook Lopez,MIL,34,9.1,14.6,62.4,5.6,12.7,44.0,3.7,9.4,39.2,0.8,2.4,31.9,0.7,2.0,33.6,1.4,4.4,32.7,6.1,17.2,35.5
47,Bruce Brown,DEN,26,11.3,15.8,71.1,4.2,10.4,40.5,2.3,5.6,41.6,1.0,3.1,32.4,1.0,2.4,41.7,2.0,5.5,36.5,4.9,14.4,34.3
48,Bruno Fernando,ATL,24,3.2,4.7,67.1,1.7,4.5,38.3,1.0,2.2,45.1,0.6,1.3,44.1,0.4,1.0,40.0,0.8,1.8,42.4,2.7,7.5,35.6
49,Bryce McGowens,CHA,20,5.3,9.5,55.9,2.8,6.1,45.8,1.2,2.6,47.7,0.7,1.5,46.9,1.1,2.3,48.8,1.6,3.3,48.0,3.3,8.5,38.5
50,Bryn Forbes,MIN,29,4.1,6.4,64.8,1.6,3.5,44.8,0.6,1.6,35.9,0.3,0.8,31.3,0.9,2.1,41.5,1.0,2.6,38.6,2.4,6.1,38.8
