,PLAYER,TEAM,AGE,GP,G,FREQ,FGM,FGA,FG%,EFG%,2FG FREQ,2FGM,2FGA,2FG%,3FG FREQ,3PM,3PA,3P%
0,Luka Doncic,DAL,23,51,51,53.8,4.7,11.9,39.7,49.3,23.1,2.4,5.1,47.5,30.7,2.3,6.8,33.8
1,Devin Booker,PHX,26,33,32,56.5,4.8,11.3,42.8,48.8,36.3,3.5,7.3,47.9,20.2,1.4,4.1,33.5
2,Trae Young,ATL,24,52,52,54.0,4.0,10.6,37.3,45.0,27.2,2.3,5.3,43.6,26.8,1.6,5.3,30.9
3,DeMar DeRozan,CHI,33,52,52,58.1,5.0,10.5,47.4,47.9,56.6,4.9,10.2,47.8,1.5,0.1,0.3,37.0
4,Kevin Durant,PHX,34,39,39,55.1,5.6,10.3,54.7,59.0,42.8,4.8,8.0,59.6,12.3,0.9,2.3,37.7
5,Kyrie Irving,DAL,30,45,45,47.9,4.5,9.6,46.5,55.6,24.8,2.7,5.0,54.6,23.0,1.8,4.6,37.9
6,Donovan Mitchell,CLE,26,51,51,48.3,4.2,9.6,43.4,55.3,19.2,1.9,3.8,48.9,29.2,2.3,5.8,39.6
7,Brandon Ingram,NOP,25,25,25,54.1,4.0,9.5,42.4,45.0,48.0,3.6,8.4,42.2,6.1,0.5,1.1,44.4
8,Damian Lillard,POR,32,46,46,46.5,3.8,9.4,40.6,54.5,11.7,1.2,2.4,51.5,34.8,2.6,7.0,37.1
9,Shai Gilgeous-Alexander,OKC,24,54,54,45.3,4.2,9.2,46.4,49.7,36.5,3.6,7.4,49.3,8.8,0.6,1.8,34.3
10,Stephen Curry,GSW,34,37,37,45.1,4.1,9.0,45.9,62.0,14.5,1.2,2.9,42.9,30.6,2.9,6.1,47.3
11,De'Aaron Fox,SAC,25,53,53,49.0,3.7,8.9,41.6,45.9,35.6,2.9,6.5,45.6,13.4,0.8,2.4,30.9
12,Cade Cunningham,DET,21,12,12,47.3,3.7,8.8,41.5,45.3,32.6,3.0,6.1,49.3,14.7,0.7,2.8,24.4
13,Tyler Herro,MIA,23,45,45,51.1,3.4,8.8,39.3,48.6,26.1,1.8,4.5,40.7,25.0,1.6,4.3,37.8
14,CJ McCollum,NOP,31,53,53,47.8,3.7,8.6,42.8,49.8,30.1,2.5,5.4,45.9,17.7,1.2,3.2,37.7
15,Dejounte Murray,ATL,26,54,52,47.3,3.9,8.5,46.0,49.7,37.5,3.3,6.7,48.7,9.8,0.6,1.8,35.8
16,Chris Paul,PHX,37,39,38,75.6,3.5,8.4,41.2,46.5,50.0,2.6,5.6,46.0,25.6,0.9,2.9,31.6
17,Jamal Murray,DEN,26,46,46,52.2,3.6,8.4,43.1,51.9,30.0,2.1,4.8,44.4,22.3,1.5,3.6,41.5
18,Kawhi Leonard,LAC,31,34,33,51.2,3.9,8.3,46.5,50.5,39.7,3.2,6.4,49.4,11.4,0.7,1.9,36.8
19,Jalen Brunson,NYK,26,56,56,46.6,3.7,8.2,45.1,51.7,30.9,2.6,5.5,48.2,15.7,1.1,2.8,39.4
20,Paul George,LAC,32,44,44,46.8,3.3,8.2,40.6,50.0,23.7,1.8,4.2,43.3,23.2,1.6,4.1,38.1
21,LaMelo Ball,CHA,21,33,33,40.4,2.9,8.2,35.9,46.1,15.2,1.3,3.1,41.1,25.1,1.7,5.1,32.8
