,Player,Team,Age,Less than 5ft._FGM,Less than 5ft._FGA,Less than 5ft._FG%,5-9 ft._FGM,5-9 ft._FGA,5-9 ft._FG%,10-14 ft._FGM,10-14 ft._FGA,10-14 ft._FG%,15-19 ft._FGM,15-19 ft._FGA,15-19 ft._FG%,20-24 ft._FGM,20-24 ft._FGA,20-24 ft._FG%,25-29 ft._FGM,25-29 ft._FGA,25-29 ft._FG%
0,A.J. Lawson,DAL,22,0.5,0.9,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,20.0,0.5,0.5,83.3
1,AJ Green,MIL,23,0.1,0.2,60.0,0.0,0.0,0.0,0.0,0.1,33.3,0.2,0.3,66.7,0.4,1.0,36.4,1.0,2.2,44.1
2,AJ Griffin,ATL,19,0.8,1.1,65.6,0.4,0.8,52.2,0.8,1.3,56.0,0.3,0.6,47.1,0.6,1.6,40.2,0.9,2.3,37.8
3,Aaron Gordon,DEN,27,5.0,7.0,70.8,0.3,0.7,41.2,0.1,0.4,31.8,0.2,0.5,36.0,0.3,1.0,34.0,0.7,1.5,45.2
4,Aaron Holiday,ATL,26,0.6,1.1,50.9,0.1,0.5,22.7,0.1,0.5,31.8,0.1,0.2,45.5,0.3,0.6,41.9,0.4,0.9,41.3
5,Aaron Nesmith,IND,23,1.5,2.5,57.9,0.1,0.6,21.9,0.2,0.5,46.2,0.0,0.1,25.0,0.8,2.3,33.3,0.7,1.9,36.2
6,Aaron Wiggins,OKC,24,1.6,2.6,61.2,0.1,0.4,31.6,0.0,0.1,40.0,0.0,0.0,0.0,0.4,1.1,36.7,0.3,0.6,41.4
7,Admiral Schofield,ORL,25,0.9,1.2,70.6,0.1,0.1,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.8,40.9,0.3,1.1,28.1
8,Al Horford,BOS,36,1.0,1.4,67.2,0.3,0.7,45.5,0.1,0.3,30.8,0.0,0.1,28.6,1.0,2.3,45.0,1.0,2.6,40.8
9,Alec Burks,DET,31,0.6,1.1,57.4,0.4,1.0,40.4,0.5,1.0,46.9,0.4,0.9,40.9,0.9,2.0,44.2,1.1,2.8,41.4
10,Aleksej Pokusevski,OKC,21,1.8,3.1,58.8,0.2,0.8,23.1,0.1,0.3,30.0,0.1,0.2,42.9,0.4,1.3,31.7,0.8,2.0,40.3
11,Alex Caruso,CHI,28,0.9,1.5,62.7,0.0,0.3,12.5,0.0,0.1,16.7,0.1,0.1,42.9,0.5,1.2,42.6,0.3,0.9,32.6
12,Alex Len,SAC,29,0.2,0.3,75.0,0.0,0.1,0.0,0.2,0.2,100,0.0,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.0
13,Alize Johnson,SAS,26,0.8,1.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0
14,Alondes Williams,BKN,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Alperen Sengun,HOU,20,4.0,6.4,62.6,1.2,2.6,46.8,0.3,0.6,51.6,0.1,0.2,41.7,0.0,0.2,22.2,0.2,0.5,37.9
16,Amir Coffey,LAC,25,0.7,1.3,55.3,0.2,0.8,29.6,0.2,0.4,40.0,0.1,0.3,33.3,0.2,0.7,25.0,0.1,0.4,30.8
