,Player,Team,GP,MIN,W,L,STL,BLK,DREB,DFGM,DFGA,DFG%
0,A.J. Lawson,DAL,12,4.2,5,7,0.0,0.0,0.6,0.3,0.3,100.0
1,AJ Green,MIL,24,9.1,18,6,0.2,0.0,0.9,0.8,1.0,79.2
2,AJ Griffin,ATL,51,20.7,23,28,0.7,0.1,1.6,1.6,2.1,77.1
3,Aaron Gordon,DEN,48,30.1,35,13,0.8,0.8,4.3,1.9,3.2,60.5
4,Aaron Holiday,ATL,48,14.9,25,23,0.6,0.2,0.9,0.8,1.0,76.0
5,Aaron Nesmith,IND,49,24.2,21,28,0.8,0.4,2.9,1.6,2.6,61.7
6,Aaron Wiggins,OKC,43,18.7,23,20,0.5,0.2,2.2,1.3,2.2,57.9
7,Admiral Schofield,ORL,27,13.0,11,16,0.2,0.1,1.2,1.2,1.6,76.2
8,Al Horford,BOS,43,30.8,30,13,0.5,0.9,5.0,2.5,4.7,54.2
9,Alec Burks,DET,42,22.2,11,31,0.8,0.1,2.7,1.9,2.6,72.1
10,Aleksej Pokusevski,OKC,31,21.9,15,16,0.6,1.3,3.6,3.5,5.7,61.0
11,Alex Caruso,CHI,45,24.2,19,26,1.6,0.6,2.4,1.4,2.1,64.2
12,Alex Len,SAC,13,3.5,8,5,0.0,0.0,0.8,0.4,0.7,55.6
13,Alize Johnson,SAS,4,7.4,1,3,0.3,0.0,2.0,0.0,1.8,0.0
14,Alondes Williams,BKN,1,5.3,1,0,0.0,0.0,1.0,0.0,0.0,0.0
15,Alperen Sengun,HOU,50,28.3,10,40,0.8,1.0,5.6,4.0,6.2,64.3
16,Amir Coffey,LAC,38,14.2,20,18,0.2,0.1,0.8,0.6,0.9,69.7
17,Andre Drummond,CHI,41,13.0,19,22,0.7,0.3,4.6,1.5,2.3,66.7
18,Andre Iguodala,GSW,2,12.3,0,2,0.0,0.0,1.0,1.0,1.5,66.7
19,Andrew Nembhard,IND,49,27.4,22,27,1.0,0.2,2.3,1.3,2.1,63.1
20,Andrew Wiggins,GSW,34,32.1,17,17,1.3,0.8,3.4,2.1,3.0,68.9
21,Anfernee Simons,POR,53,35.8,26,27,0.7,0.2,2.4,2.4,3.3,74.1
22,Anthony Davis,LAL,31,33.4,14,17,1.3,2.0,8.6,4.0,7.0,57.4
23,Anthony Edwards,MIN,58,36.2,30,28,1.7,0.6,5.4,2.2,3.0,72.3
24,Anthony Gill,WAS,38,10.4,15,23,0.1,0.2,0.9,0.7,1.2,63.6
25,Anthony Lamb,GSW,41,19.2,22,19,0.5,0.2,2.5,2.4,3.5,68.1
26,Austin Reaves,LAL,37,28.3,17,20,0.5,0.4,2.4,1.9,2.4,76.7
27,Austin Rivers,MIN,43,21.1,22,21,0.6,0.1,1.7,0.8,1.0,79.1
28,Ayo Dosunmu,CHI,51,28.0,25,26,0.7,0.4,2.4,1.5,2.4,64.2
29,Bam Adebayo,MIA,50,35.2,27,23,1.2,0.8,7.2,2.6,4.2,63.0
30,Ben Simmons,BKN,38,27.3,22,16,1.4,0.6,5.5,1.8,3.2,56.2
31,Bennedict Mathurin,IND,56,28.1,25,31,0.6,0.1,3.1,1.7,2.5,70.3
32,Bismack Biyombo,PHX,43,14.2,24,19,0.3,1.3,3.0,1.6,3.7,43.4
33,Blake Griffin,BOS,23,13.4,15,8,0.3,0.1,2.4,1.2,1.6,73.0
34,Blake Wesley,SAS,10,12.3,2,8,0.3,0.1,1.0,0.9,1.1,81.8
35,Boban Marjanovic,HOU,17,4.2,1,16,0.1,0.1,1.1,0.4,0.5,77.8
36,Bobby Portis,MIL,47,26.8,30,17,0.5,0.2,7.5,2.4,3.4,70.4
37,Bogdan Bogdanovic,ATL,30,30.4,14,16,0.9,0.3,3.1,2.0,2.7,73.2
38,Bojan Bogdanovic,DET,52,31.7,14,38,0.6,0.1,3.0,1.9,2.5,75.8
39,Bol Bol,ORL,50,23.8,19,31,0.5,1.4,5.2,2.1,3.2,66.5
40,Bones Hyland,LAC,42,19.5,28,14,0.7,0.3,1.8,1.5,1.9,83.3
41,Bradley Beal,WAS,32,32.8,17,15,0.8,0.7,2.7,1.4,2.0,70.8
42,Brandon Boston Jr.,LAC,19,11.5,7,12,0.4,0.0,1.1,0.8,1.2,69.6
43,Brandon Clarke,MEM,48,19.7,27,21,0.6,0.7,4.0,1.7,3.1,54.3
44,Brandon Ingram,NOP,21,32.0,11,10,0.8,0.6,4.7,1.4,2.2,63.0
45,Braxton Key,DET,3,3.0,0,3,0.0,0.0,0.3,0.0,0.0,0.0
46,Brook Lopez,MIL,53,30.3,36,17,0.5,2.4,4.5,4.1,7.9,51.6
47,Bruce Brown,DEN,54,28.6,38,16,1.1,0.6,3.2,1.8,2.6,68.1
48,Bruno Fernando,ATL,31,11.7,9,22,0.2,1.0,2.4,1.5,2.6,57.5
49,Bryce McGowens,CHA,22,13.8,6,16,0.2,0.2,1.3,0.7,1.0,69.6
50,Bryn Forbes,MIN,25,10.7,9,16,0.3,0.1,0.4,0.3,0.5,66.7
51,Buddy Boeheim,DET,1,1.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
52,Buddy Hield,IND,56,32.3,25,31,1.2,0.3,4.2,2.5,3.6,69.1
53,CJ McCollum,NOP,50,35.1,26,24,1.0,0.6,3.6,2.3,2.9,78.8
54,Cade Cunningham,DET,12,33.3,3,9,0.8,0.6,5.2,2.8,4.1,69.4
55,Caleb Houstan,ORL,31,16.4,10,21,0.2,0.1,1.6,1.1,1.5,70.2
56,Caleb Martin,MIA,45,30.7,24,21,1.0,0.4,3.7,2.6,3.6,70.7
57,Cam Reddish,NYK,20,21.9,9,11,0.8,0.4,1.2,1.2,1.7,72.7
58,Cam Thomas,BKN,37,15.9,23,14,0.4,0.1,1.4,1.0,1.5,64.3
59,Cameron Johnson,BKN,17,25.3,13,4,0.9,0.4,3.0,1.7,2.6,64.4
60,Cameron Payne,PHX,28,24.0,15,13,0.9,0.2,2.0,1.3,1.6,77.8
61,Caris LeVert,CLE,51,30.8,30,21,0.8,0.2,3.3,1.5,2.0,76.0
62,Cedi Osman,CLE,55,21.3,34,21,0.5,0.1,1.9,0.8,1.1,73.3
63,Charles Bassey,SAS,24,13.6,5,19,0.3,0.9,3.4,1.8,2.9,60.9
64,Chima Moneke,SAC,2,4.0,1,1,0.0,0.0,0.0,0.5,0.5,100.0
65,Chimezie Metu,SAC,41,10.9,24,17,0.3,0.3,2.3,1.6,2.8,58.4
66,Chris Boucher,TOR,50,20.8,24,26,0.7,0.8,3.7,1.5,2.4,62.8
67,Chris Duarte,IND,33,19.0,13,20,0.4,0.2,2.1,1.7,2.3,73.7
68,Chris Paul,PHX,35,31.8,18,17,1.5,0.5,3.9,1.6,2.1,75.3
69,Chris Silva,DAL,1,3.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
70,Christian Braun,DEN,50,14.7,35,15,0.4,0.2,1.6,0.9,1.2,71.7
71,Christian Koloko,TOR,45,14.6,21,24,0.3,1.1,1.7,1.8,3.2,56.6
72,Christian Wood,DAL,44,28.5,25,19,0.5,1.2,7.0,3.2,5.5,58.1
73,Chuma Okeke,ORL,18,21.8,5,13,0.6,0.5,3.1,2.3,3.2,73.7
74,Clint Capela,ATL,39,26.8,21,18,0.7,1.2,7.2,3.4,5.9,58.1
