,PLAYER,TEAM,GP,W,L,MIN,DRIVES,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%
0,A.J. Lawson,DAL,13,5,8,4.8,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,100.0,0.0,0.0,0.0,0.0,0.0,0.0
1,AJ Green,MIL,26,20,6,9.4,0.3,0.0,0.0,100.0,0.0,0.0,0.0,0.1,25.0,0.2,75.0,0.0,0.0,0.0,12.5,0.0,0.0
2,AJ Griffin,ATL,55,25,30,20.4,3.0,0.9,1.8,50.5,0.3,0.4,85.0,2.2,73.2,0.7,23.8,0.1,4.3,0.2,6.1,0.2,6.1
3,Aaron Gordon,DEN,49,35,14,30.3,3.3,0.9,1.5,58.3,0.7,1.2,58.6,2.5,76.5,0.9,25.9,0.3,8.0,0.3,9.3,0.6,17.3
4,Aaron Holiday,ATL,50,26,24,14.5,3.4,0.5,1.3,41.5,0.2,0.2,75.0,1.3,39.4,1.6,47.6,0.3,7.6,0.2,6.5,0.1,3.5
5,Aaron Nesmith,IND,54,22,32,24.7,4.0,0.7,1.7,43.3,0.5,0.6,84.4,2.0,50.0,1.5,38.8,0.3,7.9,0.3,7.9,0.3,7.5
6,Aaron Wiggins,OKC,46,25,21,18.4,3.0,0.6,1.2,48.1,0.2,0.3,78.6,1.4,46.4,1.3,42.8,0.3,11.6,0.2,8.0,0.2,5.1
7,Admiral Schofield,ORL,27,11,16,13.0,0.8,0.3,0.6,60.0,0.2,0.2,100.0,0.9,113.6,0.1,9.1,0.0,0.0,0.0,4.5,0.1,13.6
8,Al Horford,BOS,46,33,13,30.7,1.5,0.3,0.5,60.9,0.1,0.1,50.0,0.7,46.3,0.8,56.7,0.2,14.9,0.0,0.0,0.1,4.5
9,Alec Burks,DET,46,12,34,22.0,4.8,1.1,2.1,50.5,0.8,1.1,74.0,3.1,64.6,1.7,35.9,0.5,9.9,0.2,4.9,0.6,11.7
10,Aleksej Pokusevski,OKC,31,15,16,21.9,2.8,0.4,1.2,34.2,0.2,0.3,70.0,1.1,38.4,1.1,39.5,0.2,8.1,0.2,7.0,0.2,5.8
11,Alex Caruso,CHI,48,19,29,24.3,2.5,0.2,0.6,36.7,0.3,0.3,93.8,0.8,31.9,1.4,54.6,0.4,15.1,0.2,9.2,0.2,6.7
12,Alex Len,SAC,14,9,5,3.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,100.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Alize Johnson,SAS,4,1,3,7.4,1.0,0.3,0.3,100.0,0.0,0.0,0.0,0.5,50.0,0.5,50.0,0.3,25.0,0.0,0.0,0.0,0.0
14,Alondes Williams,BKN,1,1,0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Alperen Sengun,HOU,53,10,43,28.3,4.2,1.1,2.0,56.7,0.6,0.8,75.0,3.0,69.8,1.4,33.8,0.4,8.9,0.3,7.1,0.4,9.8
16,Amir Coffey,LAC,40,21,19,14.3,2.6,0.6,1.4,42.9,0.5,0.6,79.2,1.7,66.0,0.7,28.2,0.2,6.8,0.1,4.9,0.3,11.7
17,Andre Drummond,CHI,46,19,27,12.9,0.3,0.1,0.2,33.3,0.0,0.0,100.0,0.2,61.5,0.0,15.4,0.0,7.7,0.0,7.7,0.0,7.7
