,PLAYER,TEAM,GP,W,L,MIN,Touches,Elbow Touches,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%
0,A.J. Lawson,DAL,12,5,7,4.2,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,AJ Green,MIL,24,18,6,9.1,11.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,100.0,0.0,50.0,0.0,0.0,0.0,0.0
2,AJ Griffin,ATL,51,23,28,20.7,22.4,0.5,0.2,0.3,78.6,0.0,0.0,0.0,0.5,88.5,0.2,34.6,0.0,22.2,0.0,3.8,0.0,0.0
3,Aaron Gordon,DEN,48,35,13,30.1,42.5,1.8,0.3,0.5,59.1,0.3,0.4,65.0,0.9,47.1,1.1,58.6,0.2,17.6,0.1,3.4,0.2,10.3
4,Aaron Holiday,ATL,48,25,23,14.9,21.6,0.1,0.0,0.1,25.0,0.0,0.0,0.0,0.0,28.6,0.1,42.9,0.0,33.3,0.0,0.0,0.0,0.0
5,Aaron Nesmith,IND,49,21,28,24.2,34.0,0.4,0.2,0.2,80.0,0.0,0.0,0.0,0.3,88.9,0.1,38.9,0.0,0.0,0.0,5.6,0.0,0.0
6,Aaron Wiggins,OKC,43,23,20,18.7,21.7,0.6,0.1,0.2,40.0,0.1,0.1,100.0,0.2,38.5,0.3,50.0,0.0,7.7,0.0,7.7,0.0,3.8
7,Admiral Schofield,ORL,27,11,16,13.0,20.0,0.5,0.1,0.2,66.7,0.0,0.0,0.0,0.3,61.5,0.3,53.8,0.1,28.6,0.0,0.0,0.0,0.0
8,Al Horford,BOS,43,30,13,30.8,46.0,1.2,0.1,0.3,42.9,0.0,0.0,0.0,0.3,26.0,0.8,66.0,0.3,33.3,0.0,4.0,0.0,0.0
9,Alec Burks,DET,42,11,31,22.2,35.0,0.3,0.1,0.2,42.9,0.0,0.0,0.0,0.2,61.5,0.1,46.2,0.0,33.3,0.0,0.0,0.0,0.0
10,Aleksej Pokusevski,OKC,31,15,16,21.9,44.4,1.6,0.5,0.7,65.2,0.0,0.1,50.0,1.0,60.8,0.7,43.1,0.0,0.0,0.2,9.8,0.0,2.0
11,Alex Caruso,CHI,45,19,26,24.2,46.5,0.9,0.1,0.2,40.0,0.0,0.0,0.0,0.2,20.0,0.6,67.5,0.1,22.2,0.0,2.5,0.0,0.0
12,Alex Len,SAC,13,8,5,3.5,6.5,1.3,0.2,0.4,40.0,0.2,0.2,100.0,0.5,35.3,0.8,58.8,0.1,10.0,0.1,5.9,0.1,5.9
13,Alize Johnson,SAS,4,1,3,7.4,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
