,PLAYER,TEAM,GP,W,L,MIN,Touches,Paint Touches,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,Pass,Pass%,AST,AST%,TO,TOV%,PF,PF%
0,A.J. Lawson,DAL,13,5,8,4.8,4.8,0.2,0.2,0.2,100.0,0.0,0.0,0.0,0.3,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,AJ Green,MIL,27,21,6,9.8,12.2,0.3,0.1,0.1,75.0,0.1,0.1,100.0,0.3,88.9,0.1,33.3,0.0,11.1,0.0,11.1,0.0,11.1
2,AJ Griffin,ATL,56,26,30,20.4,22.1,0.7,0.3,0.4,75.0,0.0,0.0,50.0,0.7,100.0,0.2,29.7,0.1,8.1,0.0,2.7,0.0,2.7
3,Aaron Gordon,DEN,49,35,14,30.3,42.8,7.0,3.6,4.8,75.0,0.9,1.6,56.6,8.2,118.5,0.9,12.9,0.2,2.9,0.2,3.2,0.7,10.3
4,Aaron Holiday,ATL,51,27,24,14.3,20.7,0.4,0.1,0.2,41.7,0.0,0.0,100.0,0.2,57.1,0.1,33.3,0.0,0.0,0.0,0.0,0.0,4.8
5,Aaron Nesmith,IND,55,23,32,24.6,34.7,1.1,0.4,0.6,60.0,0.1,0.1,100.0,0.9,86.2,0.2,17.2,0.0,3.4,0.1,10.3,0.1,5.2
6,Aaron Wiggins,OKC,47,25,22,18.4,21.2,2.0,0.7,1.1,65.4,0.2,0.2,81.8,1.7,83.0,0.6,29.8,0.2,8.5,0.1,6.4,0.1,5.3
7,Admiral Schofield,ORL,28,11,17,12.6,19.4,1.0,0.4,0.6,61.1,0.0,0.1,50.0,0.8,82.1,0.3,28.6,0.1,7.1,0.0,0.0,0.0,3.6
8,Al Horford,BOS,47,34,13,30.8,46.5,2.9,0.7,1.3,55.7,0.1,0.1,75.0,1.5,52.9,1.3,44.1,0.4,12.5,0.1,5.1,0.0,1.5
9,Alec Burks,DET,47,12,35,21.9,34.4,0.4,0.1,0.2,44.4,0.0,0.0,0.0,0.2,52.9,0.1,35.3,0.0,5.9,0.0,11.8,0.0,0.0
10,Aleksej Pokusevski,OKC,31,15,16,21.9,44.4,3.4,1.2,2.1,54.5,0.1,0.2,66.7,2.5,72.4,0.8,23.8,0.1,1.9,0.2,6.7,0.1,2.9
11,Alex Caruso,CHI,49,20,29,24.2,45.8,1.2,0.3,0.5,57.7,0.1,0.1,83.3,0.7,57.4,0.5,42.6,0.2,18.0,0.0,3.3,0.1,4.9
12,Alex Len,SAC,14,9,5,3.4,6.1,0.9,0.3,0.3,100.0,0.1,0.1,50.0,0.6,75.0,0.4,50.0,0.1,8.3,0.0,0.0,0.1,8.3
13,Alize Johnson,SAS,4,1,3,7.4,11.5,1.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.5,50.0,0.0,0.0,0.3,25.0,0.0,0.0
14,Alondes Williams,BKN,1,1,0,5.3,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Alperen Sengun,HOU,54,10,44,28.2,53.6,7.3,2.4,4.1,58.0,0.4,0.6,70.6,5.5,75.3,1.9,26.3,0.6,7.9,0.5,6.4,0.2,3.3
16,Amir Coffey,LAC,40,21,19,14.3,15.5,0.3,0.1,0.1,50.0,0.0,0.0,0.0,0.1,33.3,0.2,50.0,0.0,8.3,0.0,0.0,0.0,0.0
17,Andre Drummond,CHI,47,20,27,13.0,18.4,4.8,2.1,3.2,63.8,0.4,1.0,43.8,4.7,96.5,0.6,12.3,0.1,3.1,0.3,7.0,0.5,10.6
18,Andre Iguodala,GSW,2,0,2,12.3,21.0,1.0,0.5,0.5,100.0,0.0,0.0,0.0,1.0,100.0,0.5,50.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Andrew Nembhard,IND,55,24,31,27.0,43.6,0.6,0.2,0.3,60.0,0.0,0.0,0.0,0.3,54.3,0.3,51.4,0.1,11.4,0.0,5.7,0.0,0.0
20,Andrew Wiggins,GSW,36,18,18,32.3,46.2,3.3,1.5,2.4,63.5,0.2,0.3,50.0,3.3,99.2,0.6,18.6,0.1,3.4,0.0,0.8,0.1,4.2
21,Anfernee Simons,POR,56,27,29,35.5,69.2,0.6,0.3,0.4,68.2,0.0,0.0,0.0,0.5,93.8,0.2,28.1,0.0,3.1,0.0,3.1,0.0,0.0
22,Anthony Davis,LAL,36,17,19,33.2,67.3,11.2,5.3,7.4,70.5,2.5,3.0,84.3,13.4,119.4,1.3,11.7,0.2,1.7,0.4,4.0,1.4,12.2
23,Anthony Edwards,MIN,62,31,31,36.3,73.0,0.9,0.4,0.5,74.2,0.0,0.1,50.0,0.8,87.7,0.3,33.3,0.0,3.5,0.0,3.5,0.0,3.5
24,Anthony Gill,WAS,41,17,24,10.0,10.0,1.2,0.7,0.9,83.3,0.1,0.1,75.0,1.6,130.6,0.2,16.3,0.0,0.0,0.0,2.0,0.0,2.0
