,PLAYER,TEAM,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,eFG%
0,A.J. Lawson,DAL,12,5,7,4.2,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.0
1,AJ Green,MIL,24,18,6,9.1,1.0,0.4,1.1,38.5,0.2,0.7,25.0,46.2
2,AJ Griffin,ATL,52,24,28,20.6,3.2,1.4,2.6,52.6,0.4,0.8,50.0,60.2
3,Aaron Gordon,DEN,49,35,14,30.3,1.8,0.7,1.7,39.8,0.4,0.9,45.7,52.4
4,Aaron Holiday,ATL,48,25,23,14.9,1.0,0.4,1.1,39.2,0.1,0.3,37.5,45.1
5,Aaron Nesmith,IND,49,21,28,24.2,0.9,0.4,1.1,32.7,0.2,0.6,33.3,40.9
6,Aaron Wiggins,OKC,43,23,20,18.7,0.2,0.1,0.3,33.3,0.0,0.1,50.0,41.7
7,Admiral Schofield,ORL,27,11,16,13.0,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.0
8,Al Horford,BOS,43,30,13,30.8,0.3,0.1,0.3,41.7,0.0,0.0,100,45.8
9,Alec Burks,DET,43,11,32,22.2,5.0,2.0,4.9,42.1,0.9,2.2,39.4,51.0
10,Aleksej Pokusevski,OKC,31,15,16,21.9,0.4,0.2,0.6,27.8,0.0,0.2,20.0,30.6
11,Alex Caruso,CHI,47,20,27,24.3,0.2,0.1,0.5,18.2,0.0,0.2,20.0,22.7
12,Alex Len,SAC,13,8,5,3.5,0.2,0.1,0.1,100,0.0,0.0,-,100
13,Alize Johnson,SAS,4,1,3,7.4,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0
14,Alondes Williams,BKN,1,1,0,5.3,0.0,0.0,0.0,-,-,-,-,-
15,Alperen Sengun,HOU,50,10,40,28.3,0.4,0.2,0.5,47.8,0.0,0.1,0.0,47.8
16,Amir Coffey,LAC,38,20,18,14.2,0.4,0.2,0.7,25.0,0.0,0.1,20.0,26.8
17,Andre Drummond,CHI,42,19,23,13.0,0.0,0.0,0.0,100,0.0,0.0,-,100
18,Andre Iguodala,GSW,3,1,2,14.1,0.0,0.0,0.0,-,-,-,-,-
19,Andrew Nembhard,IND,49,22,27,27.4,2.2,1.0,2.7,36.2,0.3,0.9,34.9,41.9
20,Andrew Wiggins,GSW,35,18,17,32.0,2.2,1.0,3.0,33.3,0.2,0.8,21.4,36.2
21,Anfernee Simons,POR,53,26,27,35.8,7.5,3.0,7.4,40.4,1.5,4.1,36.1,50.5
22,Anthony Davis,LAL,32,14,18,33.5,2.0,1.0,2.4,41.6,0.0,0.1,0.0,41.6
