,PLAYER,TEAM,GP,W,L,MIN,PTS,Drive PTS,Drive FG%,C&S PTS,C&S FG%,Pull Up PTS,Pull Up FG%,Paint Touch PTS,Paint Touch FG%,Post Touch PTS,Post Touch FG%,Elbow Touch PTS,Elbow Touch FG%,eFG%
0,A.J. Lawson,DAL,13,5,8,4.8,2.6,0.0,0.0,1.6,46.7,0.0,0.0,0.3,100.0,0.0,0.0,0.0,0.0,63.5
1,AJ Green,MIL,25,19,6,8.9,4.2,0.1,100.0,2.9,44.4,1.0,38.5,0.3,75.0,0.0,0.0,0.0,0.0,60.7
2,AJ Griffin,ATL,55,25,30,20.4,9.3,2.2,50.5,3.5,38.2,3.1,51.0,0.6,72.7,0.0,100.0,0.4,73.3,57.3
3,Aaron Gordon,DEN,49,35,14,30.3,17.3,2.5,58.3,2.0,35.8,1.8,39.8,8.2,75.0,1.7,50.9,0.9,58.3,63.3
4,Aaron Holiday,ATL,50,26,24,14.5,4.2,1.3,41.5,1.5,42.4,0.9,38.5,0.2,41.7,0.0,0.0,0.0,25.0,50.0
5,Aaron Nesmith,IND,53,22,31,24.5,9.8,1.9,42.7,4.0,35.6,1.0,35.1,0.9,58.8,0.0,0.0,0.3,81.8,51.3
6,Aaron Wiggins,OKC,46,25,21,18.4,6.4,1.4,48.1,2.0,39.5,0.2,33.3,1.6,65.3,0.0,100.0,0.2,40.0,57.7
7,Admiral Schofield,ORL,27,11,16,13.0,4.6,0.9,60.0,2.0,36.0,0.0,0.0,0.9,61.1,0.0,0.0,0.3,66.7,57.6
8,Al Horford,BOS,45,32,13,30.7,9.3,0.7,60.9,6.1,40.5,0.3,46.2,1.6,55.0,0.4,50.0,0.3,46.7,60.1
9,Alec Burks,DET,45,12,33,22.1,13.0,3.2,50.5,3.2,45.0,5.0,42.3,0.2,44.4,0.2,57.1,0.2,37.5,55.5
10,Aleksej Pokusevski,OKC,31,15,16,21.9,8.8,1.1,34.2,3.8,38.5,0.4,27.8,2.5,54.5,0.0,0.0,1.0,65.2,51.9
