,PLAYER,TEAM,GP,W,L,MIN,Dist. Feet,Dist. Miles,Dist. Miles Off,Dist. Miles Def,Avg Speed,Avg Speed Off,Avg Speed Def
0,A.J. Lawson,DAL,12,5,7,4.2,1794.6,0.34,0.18,0.16,4.48,4.64,4.33
1,AJ Green,MIL,25,19,6,8.8,3644.0,0.69,0.38,0.31,4.36,4.76,3.9
2,AJ Griffin,ATL,54,25,29,20.5,8805.1,1.67,0.9,0.77,4.55,4.93,4.18
3,Aaron Gordon,DEN,49,35,14,30.3,11395.5,2.16,1.13,1.03,4.01,4.24,3.79
4,Aaron Holiday,ATL,49,26,23,14.7,5938.4,1.12,0.57,0.55,4.28,4.37,4.19
5,Aaron Nesmith,IND,52,21,31,24.4,10077.8,1.91,0.98,0.92,4.4,4.68,4.13
6,Aaron Wiggins,OKC,45,24,21,18.6,7965.5,1.51,0.8,0.71,4.56,4.97,4.18
7,Admiral Schofield,ORL,27,11,16,13.0,5277.7,1.0,0.54,0.46,4.31,4.56,4.06
8,Al Horford,BOS,44,31,13,30.8,11392.8,2.16,1.14,1.02,3.95,4.21,3.69
9,Alec Burks,DET,44,12,32,22.1,8437.4,1.6,0.84,0.76,4.03,4.25,3.82
10,Aleksej Pokusevski,OKC,31,15,16,21.9,8825.7,1.67,0.93,0.74,4.31,4.96,3.71
11,Alex Caruso,CHI,47,19,28,24.2,9985.3,1.89,0.99,0.9,4.35,4.75,3.98
12,Alex Len,SAC,13,8,5,3.5,1413.5,0.27,0.15,0.12,4.21,4.45,3.72
13,Alize Johnson,SAS,4,1,3,7.4,3226.5,0.61,0.34,0.27,4.52,5.03,4.03
14,Alondes Williams,BKN,1,1,0,5.3,2184.0,0.41,0.23,0.18,4.27,3.78,4.91
15,Alperen Sengun,HOU,52,10,42,28.4,10291.5,1.95,1.04,0.91,3.86,3.95,3.76
16,Amir Coffey,LAC,40,21,19,14.3,5453.4,1.03,0.54,0.5,4.03,4.11,3.94
17,Andre Drummond,CHI,44,19,25,13.0,5009.8,0.95,0.48,0.47,4.07,4.29,3.89
18,Andre Iguodala,GSW,2,0,2,12.3,4895.0,0.93,0.52,0.4,4.39,4.82,3.55
19,Andrew Nembhard,IND,52,22,30,27.2,11142.3,2.11,1.09,1.02,4.34,4.63,4.08
20,Andrew Wiggins,GSW,36,18,18,32.3,12314.7,2.33,1.22,1.12,4.07,4.38,3.77
21,Anfernee Simons,POR,56,27,29,35.5,13815.1,2.62,1.46,1.16,4.13,4.51,3.73
22,Anthony Davis,LAL,34,15,19,33.5,11827.5,2.24,1.19,1.05,3.78,4.04,3.52
23,Anthony Edwards,MIN,60,31,29,36.2,13546.2,2.57,1.36,1.21,3.96,4.29,3.65
24,Anthony Gill,WAS,41,17,24,10.0,4050.4,0.77,0.42,0.35,4.25,4.6,3.89
25,Anthony Lamb,GSW,42,22,20,19.4,8040.7,1.52,0.85,0.67,4.39,4.97,3.83
26,Austin Reaves,LAL,40,18,22,28.1,11011.9,2.09,1.13,0.96,4.18,4.51,3.86
